location,time_period,horizon_distance,sample,forecast
LA-AT,201008,0,0,37.202599217697355
LA-AT,201008,0,1,16.938557941548083
LA-AT,201008,0,2,7.5594919677666255
LA-AT,201008,0,3,3.2119279877169244
LA-AT,201008,0,4,39.692339210325116
LA-AT,201008,0,5,28.68342858701574
LA-AT,201008,0,6,15.212756347279585
LA-AT,201008,0,7,9.799285154368196
LA-AT,201008,0,8,4.157834623562791
LA-AT,201008,0,9,16.220630643596234
LA-AT,201008,0,10,12.563015585297395
LA-AT,201008,0,11,17.126537087103493
LA-AT,201008,0,12,6.277627233148543
LA-AT,201008,0,13,21.98809265948627
LA-AT,201008,0,14,12.864984399799814
LA-AT,201008,0,15,2.795969504267495
LA-AT,201008,0,16,38.034516184596214
LA-AT,201008,0,17,2.266021351871057
LA-AT,201008,0,18,7.451513206888427
LA-AT,201008,0,19,1.9640525373686368
LA-AT,201008,0,20,8.625399180628312
LA-AT,201008,0,21,12.89897368406961
LA-AT,201008,0,22,6.539595855312355
LA-AT,201008,0,23,1.3201147160251903
LA-AT,201008,0,24,5.17773073601706
LA-AT,201008,0,25,0.9041562325757612
LA-AT,201008,0,26,10.101253968870617
LA-AT,201008,0,27,5.445710266249685
LA-AT,201008,0,28,5.861668749699113
LA-AT,201008,0,29,0.9041562325757612
LA-AT,201008,0,30,115.06497742763511
LA-AT,201008,0,31,4.687782775959229
LA-AT,201008,0,32,4.801772444906238
LA-AT,201008,0,33,16.56259965043726
LA-AT,201008,0,34,7.2235338689944095
LA-AT,201008,0,35,0.9041562325757612
LA-AT,201008,0,36,16.68861113552189
LA-AT,201008,0,37,65.55783082494118
LA-AT,201008,0,38,9.799285154368196
LA-AT,201008,0,39,0.9041562325757612
LA-AT,201008,0,40,1.3201147160251903
LA-AT,201008,0,41,22.66601976509951
LA-AT,201008,0,42,16.648610943183282
LA-AT,201008,0,43,48.31347769381612
LA-AT,201008,0,44,4.083845146954388
LA-AT,201008,0,45,3.5538969945579506
LA-AT,201008,0,46,2.494000689765075
LA-AT,201008,0,47,29.59534593859181
LA-AT,201008,0,48,89.40549768278089
LA-AT,201008,0,49,4.57379310701222
LA-AT,201008,0,50,37.31057797857555
LA-AT,201008,0,51,14.710786571084132
LA-AT,201008,0,52,6.995554531100392
LA-AT,201008,0,53,120.86621114343455
LA-AT,201008,0,54,40.120319509912164
LA-AT,201008,0,55,33.468918518647044
LA-AT,201008,0,56,3.513896802219344
LA-AT,201008,0,57,31.361147725198915
LA-AT,201008,0,58,4.459803438065212
LA-AT,201008,0,59,6.351616709756945
LA-AT,201008,0,60,9.417315955188563
LA-AT,201008,0,61,3.3999071332723356
LA-AT,201008,0,62,2.380011020818066
LA-AT,201008,0,63,3.513896802219344
LA-AT,201008,0,64,202.888391772227
