date,dimensions,grandParentId,grandParentParentGraph,hasCoordinatesDown,hasCoordinatesUp,id,level,name,parentGraph,parentId,parentName,temperature_2m,total_precipitation_sum,type,weight
2023-01-01,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,298.8689265479403,9.139444059048099e-07,Polygon,1
2023-01-01,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,300.16254877548727,8.52346317969932e-07,Polygon,1
2023-01-02,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,298.9805937291523,3.859927792563179e-06,Polygon,1
2023-01-02,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.87711454485424,4.351138045421976e-07,Polygon,1
2023-01-03,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.1285717748665,2.080699376986107e-06,Polygon,1
2023-01-03,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.831107650023,1.7668810782102992e-06,Polygon,1
2023-01-04,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,298.9631226975469,2.045927402546402e-06,Polygon,1
2023-01-04,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.6529707616713,1.720861632747983e-06,Polygon,1
2023-01-05,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,298.7359540103428,4.661414715768336e-06,Polygon,1
2023-01-05,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.2758307278729,1.7929069959326577e-06,Polygon,1
2023-01-06,{},,,True,False,O6uvpzGd5pu,2,Bo,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.16307971598854,8.803164462146061e-07,Polygon,1
2023-01-06,{},,,True,False,fdc6uOvgoji,2,Bombali,ImspTQPwCqd,ImspTQPwCqd,Sierra Leone,299.7887210423041,8.747059687667919e-07,Polygon,1
