time_period,rainfall,mean_temperature,disease_cases,population,location
2003-12-29/2004-01-04,0.0010518380510041,295.72694702317347,7.0,100018,boaco
2004-01-05/2004-01-11,0.0002226313951621,295.3706438664568,2.0,100588,boaco
2004-01-12/2004-01-18,0.0007321023119608,296.14071163396255,6.0,100319,boaco
2004-01-19/2004-01-25,0.0004713520120926,295.6668022641547,0.0,100731,boaco
2004-01-26/2004-02-01,0.0006728184643959,295.7381052897496,1.0,100771,boaco
2004-02-02/2004-02-08,0.002127328459914,295.78821045965833,5.0,100487,boaco
2004-02-09/2004-02-15,0.0007623659693571,296.2728450597401,3.0,100726,boaco
2004-02-16/2004-02-22,0.0004929745912587,297.4898328459417,8.0,100725,boaco
2004-02-23/2004-02-29,0.0028329728650866,295.9820859874073,1.0,100989,boaco
2004-03-01/2004-03-07,0.0005317088366547,,2.0,100995,boaco
2004-03-08/2004-03-14,0.0013901427254021,,1.0,100259,boaco
2004-03-15/2004-03-21,0.0011809835136114,297.12435607801586,2.0,100027,boaco
2004-03-22/2004-03-28,0.0006878518704286,297.0929917040541,3.0,100055,boaco
2004-03-29/2004-04-04,0.0005092052513969,298.8714306644567,0.0,100424,boaco
2004-04-05/2004-04-11,0.0001846905290687,298.8357904735006,1.0,100291,boaco
2004-04-12/2004-04-18,0.0004483765743781,298.5528835256015,4.0,100224,boaco
2004-04-19/2004-04-25,0.0022848160482286,298.56762852307844,5.0,100759,boaco
2004-04-26/2004-05-02,0.0009084237834629,298.80937232062365,1.0,100474,boaco
2004-05-03/2004-05-09,0.00225996438529,298.3342139481141,0.0,100004,boaco
2004-05-10/2004-05-16,0.0126429135523864,295.82519446438744,1.0,100577,boaco
2004-05-17/2004-05-23,0.004745894507511,296.7188915348797,2.0,100886,boaco
2004-05-24/2004-05-30,0.0053584172447099,296.2371797987914,9.0,100397,boaco
2004-05-31/2004-06-06,0.0065090912030935,296.1225154407412,8.0,100995,boaco
2004-06-07/2004-06-13,0.0040312667793288,297.09169715259645,8.0,100026,boaco
2004-06-14/2004-06-20,0.0058405085176759,296.1099026959682,5.0,100683,boaco
2004-06-21/2004-06-27,0.0025915574725769,296.4356916113139,3.0,100143,boaco
2004-06-28/2004-07-04,0.004376173517706,295.6862996499699,3.0,100033,boaco
2004-07-05/2004-07-11,0.0042424644274343,295.8453566548997,2.0,100096,boaco
2004-07-12/2004-07-18,0.001798282348004,296.9527124822731,3.0,100684,boaco
2004-07-19/2004-07-25,0.0023566734031052,297.10923098874406,0.0,100533,boaco
2004-07-26/2004-08-01,0.003111731998057,296.9883606394157,3.0,100746,boaco
2004-08-02/2004-08-08,0.0031131632960403,297.59310393300257,6.0,100222,boaco
2004-08-09/2004-08-15,0.0030117433825019,296.8258882299798,4.0,100264,boaco
2004-08-16/2004-08-22,0.0044485669481212,296.30483936323486,5.0,100334,boaco
2004-08-23/2004-08-29,0.0018243600429524,297.12990936457857,5.0,100887,boaco
2004-08-30/2004-09-05,0.0025997767713331,297.44360986923135,6.0,100087,boaco
2004-09-06/2004-09-12,0.0050515284180775,297.4543534710566,2.0,100215,boaco
2004-09-13/2004-09-19,0.0056752043757717,297.14520903355515,4.0,100930,boaco
2004-09-20/2004-09-26,0.0056156693910399,296.6578520483894,4.0,100832,boaco
2004-09-27/2004-10-03,0.0036847703417714,296.2626710652853,14.0,100286,boaco
2004-10-04/2004-10-10,0.0039501967713752,297.5048922543382,9.0,100292,boaco
2004-10-11/2004-10-17,0.0026197877825058,296.8781255035996,7.0,100308,boaco
2004-10-18/2004-10-24,0.0013283202002852,296.67314824730244,10.0,100435,boaco
2004-10-25/2004-10-31,0.0043271962987875,296.21231029799236,4.0,100356,boaco
2004-11-01/2004-11-07,0.000715655757667,295.97011901868336,5.0,100147,boaco
2004-11-08/2004-11-14,0.000618884008936,295.92307220590084,9.0,100459,boaco
2004-11-15/2004-11-21,0.0021781334319741,295.96002133184663,4.0,100343,boaco
2004-11-22/2004-11-28,0.0013128959530032,295.61857604839724,2.0,100066,boaco
2004-11-29/2004-12-05,0.0011339865064011,295.85079842450216,5.0,100255,boaco
2004-12-06/2004-12-12,0.0003241532155114,295.8089045388473,1.0,100758,boaco
2004-12-13/2004-12-19,0.0005399337566724,296.253775329598,1.0,100531,boaco
2004-12-20/2004-12-26,0.0008574238959909,295.2682936308682,2.0,100530,boaco
2003-12-29/2004-01-04,1.301042460659894e-06,301.4500094123689,6.0,100297,leon
2004-01-05/2004-01-11,5.228723304590107e-06,301.09906523227227,10.0,100397,leon
2004-01-12/2004-01-18,0.0004000257424804,300.1219878878808,2.0,100546,leon
2004-01-19/2004-01-25,0.0001629215587815,300.13328520237627,4.0,100005,leon
2004-01-26/2004-02-01,1.312796067741e-06,301.08461320173876,15.0,100380,leon
2004-02-02/2004-02-08,4.875843947021546e-06,302.05128897457575,10.0,100013,leon
2004-02-09/2004-02-15,2.9877396348314194e-05,301.8472452638058,3.0,100639,leon
2004-02-16/2004-02-22,0.0007013792579028,300.7051239285005,3.0,100100,leon
2004-02-23/2004-02-29,1.0742974831384724e-06,302.2920313938602,4.0,100722,leon
2004-03-01/2004-03-07,1.7569299170795234e-05,302.76255557148414,8.0,100958,leon
2004-03-08/2004-03-14,2.4589290021255504e-06,303.321318827804,7.0,100331,leon
2004-03-15/2004-03-21,8.539715273831893e-06,303.4978666674003,6.0,100593,leon
2004-03-22/2004-03-28,0.0009076300836002,301.71564714983333,4.0,100992,leon
2004-03-29/2004-04-04,5.729415943100667e-05,302.602624474033,2.0,100172,leon
2004-04-05/2004-04-11,0.0004428422514055,302.8110341821474,3.0,100237,leon
2004-04-12/2004-04-18,0.0001156407484019,302.3711910344931,3.0,100841,leon
2004-04-19/2004-04-25,0.0039566206073546,301.89654523369614,7.0,100325,leon
2004-04-26/2004-05-02,0.0013177414264938,302.69897681487606,4.0,100520,leon
2004-05-03/2004-05-09,0.0002643631146796,304.0813297541432,3.0,100076,leon
2004-05-10/2004-05-16,0.0166015495366491,300.3848725837824,1.0,100947,leon
2004-05-17/2004-05-23,0.0097179817860766,299.31168128366465,2.0,100094,leon
2004-05-24/2004-05-30,0.0087025129698287,300.0242508536014,3.0,100262,leon
2004-05-31/2004-06-06,0.0088195868579457,299.920162305137,1.0,100923,leon
2004-06-07/2004-06-13,0.0038835474012148,301.27607953923626,3.0,100044,leon
2004-06-14/2004-06-20,0.0038593658433919,301.4768544220331,6.0,100702,leon
2004-06-21/2004-06-27,0.0006928256628965,301.85043359443534,5.0,100516,leon
2004-06-28/2004-07-04,0.007128132628732,300.20999910753284,6.0,100923,leon
2004-07-05/2004-07-11,0.003490421352152,300.62599634201496,5.0,100315,leon
2004-07-12/2004-07-18,0.0038989851272683,300.7177561149545,5.0,100103,leon
2004-07-19/2004-07-25,0.0061480202951258,300.58338088802526,8.0,100916,leon
2004-07-26/2004-08-01,0.0053180841221204,300.4092416780852,7.0,100579,leon
2004-08-02/2004-08-08,0.0043046099583508,301.6321069307087,16.0,100067,leon
2004-08-09/2004-08-15,0.002591914000643,301.9549890405143,14.0,100798,leon
2004-08-16/2004-08-22,0.0049879512306301,300.7841924505311,6.0,100643,leon
2004-08-23/2004-08-29,0.0051577218673545,300.5628364722655,12.0,100912,leon
2004-08-30/2004-09-05,0.006282789279798,299.4376831151816,8.0,100222,leon
2004-09-06/2004-09-12,0.013015167773393,298.65944175468314,12.0,100593,leon
2004-09-13/2004-09-19,0.0065962430595434,299.1308231804936,10.0,100560,leon
2004-09-20/2004-09-26,0.0104316735314274,299.17214876844554,20.0,100883,leon
2004-09-27/2004-10-03,0.0074662031512675,299.7752808310119,10.0,100971,leon
2004-10-04/2004-10-10,0.007120408078819,299.5076089856878,13.0,100805,leon
2004-10-11/2004-10-17,0.0096376986000615,299.30026247893176,4.0,100335,leon
2004-10-18/2004-10-24,0.0025011586953254,299.1917187011902,13.0,100268,leon
2004-10-25/2004-10-31,0.0081710705328281,299.64789818542476,4.0,100269,leon
2004-11-01/2004-11-07,0.0018824599958723,299.5158561547629,8.0,100829,leon
2004-11-08/2004-11-14,0.0001034196854151,300.2102852771909,12.0,100266,leon
2004-11-15/2004-11-21,0.0006535394710606,300.76468314306123,2.0,100271,leon
2004-11-22/2004-11-28,0.0002265857148459,300.6771114685116,7.0,100205,leon
2004-11-29/2004-12-05,0.0004291930086081,301.10099719628005,6.0,100096,leon
2004-12-06/2004-12-12,1.2813132419288136e-05,301.16535501613583,8.0,100612,leon
