,time_period,disease_cases,population,location
0,2023W16,3.0,210055,FRmrFTE63D0
1,2023W17,5.0,210055,FRmrFTE63D0
2,2023W18,9.0,210055,FRmrFTE63D0
3,2023W19,11.0,210055,FRmrFTE63D0
4,2023W20,19.0,210055,FRmrFTE63D0
5,2023W21,26.0,210055,FRmrFTE63D0
6,2023W22,48.0,210055,FRmrFTE63D0
7,2023W23,42.0,210055,FRmrFTE63D0
8,2023W24,45.0,210055,FRmrFTE63D0
9,2023W25,25.0,210055,FRmrFTE63D0
10,2023W26,18.0,210055,FRmrFTE63D0
11,2023W27,14.0,210055,FRmrFTE63D0
12,2023W28,20.0,210055,FRmrFTE63D0
13,2023W29,16.0,210055,FRmrFTE63D0
14,2023W30,8.0,210055,FRmrFTE63D0
15,2023W31,4.0,210055,FRmrFTE63D0
16,2023W32,6.0,210055,FRmrFTE63D0
17,2023W33,1.0,210055,FRmrFTE63D0
18,2023W34,2.0,210055,FRmrFTE63D0
19,2023W35,,210055,FRmrFTE63D0
20,2023W36,,210055,FRmrFTE63D0
21,2023W37,2.0,210055,FRmrFTE63D0
22,2023W38,,210055,FRmrFTE63D0
23,2023W39,1.0,210055,FRmrFTE63D0
24,2023W40,,210055,FRmrFTE63D0
25,2023W41,,210055,FRmrFTE63D0
26,2023W42,,210055,FRmrFTE63D0
27,2023W43,,210055,FRmrFTE63D0
28,2023W44,38.0,210055,FRmrFTE63D0
29,2023W45,29.0,210055,FRmrFTE63D0
30,2023W46,26.0,210055,FRmrFTE63D0
31,2023W47,18.0,210055,FRmrFTE63D0
32,2023W48,38.0,210055,FRmrFTE63D0
33,2023W49,36.0,210055,FRmrFTE63D0
34,2023W50,44.0,210055,FRmrFTE63D0
35,2023W51,27.0,210055,FRmrFTE63D0
36,2023W52,40.0,210055,FRmrFTE63D0
37,2024W1,33.0,210055,FRmrFTE63D0
38,2024W2,19.0,210055,FRmrFTE63D0
39,2024W3,31.0,210055,FRmrFTE63D0
40,2024W4,39.0,210055,FRmrFTE63D0
41,2024W5,27.0,210055,FRmrFTE63D0
42,2024W6,24.0,210055,FRmrFTE63D0
43,2024W7,23.0,210055,FRmrFTE63D0
44,2024W8,21.0,210055,FRmrFTE63D0
45,2024W9,31.0,210055,FRmrFTE63D0
46,2024W10,25.0,210055,FRmrFTE63D0
47,2024W11,33.0,210055,FRmrFTE63D0
48,2024W12,34.0,210055,FRmrFTE63D0
49,2024W13,28.0,210055,FRmrFTE63D0
50,2024W14,29.0,210055,FRmrFTE63D0
51,2024W15,27.0,210055,FRmrFTE63D0
0,2023W17,2.0,113824,K27JzTKmBKh
1,2023W18,2.0,113824,K27JzTKmBKh
2,2023W19,,113824,K27JzTKmBKh
3,2023W20,3.0,113824,K27JzTKmBKh
4,2023W21,3.0,113824,K27JzTKmBKh
5,2023W22,,113824,K27JzTKmBKh
6,2023W23,,113824,K27JzTKmBKh
7,2023W24,1.0,113824,K27JzTKmBKh
8,2023W25,,113824,K27JzTKmBKh
9,2023W26,,113824,K27JzTKmBKh
10,2023W27,,113824,K27JzTKmBKh
11,2023W28,,113824,K27JzTKmBKh
12,2023W29,,113824,K27JzTKmBKh
13,2023W30,,113824,K27JzTKmBKh
14,2023W31,,113824,K27JzTKmBKh
15,2023W32,,113824,K27JzTKmBKh
16,2023W33,,113824,K27JzTKmBKh
17,2023W34,1.0,113824,K27JzTKmBKh
18,2023W35,,113824,K27JzTKmBKh
19,2023W36,,113824,K27JzTKmBKh
20,2023W37,,113824,K27JzTKmBKh
21,2023W38,,113824,K27JzTKmBKh
22,2023W39,,113824,K27JzTKmBKh
23,2023W40,,113824,K27JzTKmBKh
24,2023W41,,113824,K27JzTKmBKh
25,2023W42,,113824,K27JzTKmBKh
26,2023W43,,113824,K27JzTKmBKh
27,2023W44,12.0,113824,K27JzTKmBKh
28,2023W45,13.0,113824,K27JzTKmBKh
29,2023W46,17.0,113824,K27JzTKmBKh
30,2023W47,6.0,113824,K27JzTKmBKh
31,2023W48,5.0,113824,K27JzTKmBKh
32,2023W49,7.0,113824,K27JzTKmBKh
33,2023W50,9.0,113824,K27JzTKmBKh
34,2023W51,12.0,113824,K27JzTKmBKh
35,2023W52,19.0,113824,K27JzTKmBKh
36,2024W1,18.0,113824,K27JzTKmBKh
37,2024W2,15.0,113824,K27JzTKmBKh
38,2024W3,6.0,113824,K27JzTKmBKh
39,2024W4,13.0,113824,K27JzTKmBKh
40,2024W5,13.0,113824,K27JzTKmBKh
41,2024W6,10.0,113824,K27JzTKmBKh
42,2024W7,19.0,113824,K27JzTKmBKh
43,2024W8,13.0,113824,K27JzTKmBKh
44,2024W9,14.0,113824,K27JzTKmBKh
45,2024W10,11.0,113824,K27JzTKmBKh
46,2024W11,12.0,113824,K27JzTKmBKh
47,2024W12,18.0,113824,K27JzTKmBKh
48,2024W13,25.0,113824,K27JzTKmBKh
49,2024W14,17.0,113824,K27JzTKmBKh
50,2024W15,9.0,113824,K27JzTKmBKh
0,2023W16,9.0,474348,MBZYTqkEgwf
1,2023W17,9.0,474348,MBZYTqkEgwf
2,2023W18,3.0,474348,MBZYTqkEgwf
3,2023W19,12.0,474348,MBZYTqkEgwf
4,2023W20,12.0,474348,MBZYTqkEgwf
5,2023W21,12.0,474348,MBZYTqkEgwf
6,2023W22,11.0,474348,MBZYTqkEgwf
7,2023W23,7.0,474348,MBZYTqkEgwf
8,2023W24,9.0,474348,MBZYTqkEgwf
9,2023W25,11.0,474348,MBZYTqkEgwf
10,2023W26,15.0,474348,MBZYTqkEgwf
11,2023W27,9.0,474348,MBZYTqkEgwf
12,2023W28,12.0,474348,MBZYTqkEgwf
13,2023W29,11.0,474348,MBZYTqkEgwf
14,2023W30,5.0,474348,MBZYTqkEgwf
15,2023W31,14.0,474348,MBZYTqkEgwf
16,2023W32,13.0,474348,MBZYTqkEgwf
17,2023W33,10.0,474348,MBZYTqkEgwf
18,2023W34,8.0,474348,MBZYTqkEgwf
19,2023W35,4.0,474348,MBZYTqkEgwf
20,2023W36,4.0,474348,MBZYTqkEgwf
21,2023W37,3.0,474348,MBZYTqkEgwf
22,2023W38,,474348,MBZYTqkEgwf
23,2023W39,3.0,474348,MBZYTqkEgwf
24,2023W40,2.0,474348,MBZYTqkEgwf
25,2023W41,3.0,474348,MBZYTqkEgwf
26,2023W42,,474348,MBZYTqkEgwf
27,2023W43,,474348,MBZYTqkEgwf
28,2023W44,31.0,474348,MBZYTqkEgwf
29,2023W45,43.0,474348,MBZYTqkEgwf
30,2023W46,43.0,474348,MBZYTqkEgwf
31,2023W47,28.0,474348,MBZYTqkEgwf
32,2023W48,36.0,474348,MBZYTqkEgwf
33,2023W49,29.0,474348,MBZYTqkEgwf
34,2023W50,20.0,474348,MBZYTqkEgwf
35,2023W51,26.0,474348,MBZYTqkEgwf
36,2023W52,32.0,474348,MBZYTqkEgwf
37,2024W1,29.0,474348,MBZYTqkEgwf
38,2024W2,15.0,474348,MBZYTqkEgwf
39,2024W3,25.0,474348,MBZYTqkEgwf
40,2024W4,23.0,474348,MBZYTqkEgwf
41,2024W5,25.0,474348,MBZYTqkEgwf
42,2024W6,16.0,474348,MBZYTqkEgwf
43,2024W7,25.0,474348,MBZYTqkEgwf
44,2024W8,30.0,474348,MBZYTqkEgwf
45,2024W9,23.0,474348,MBZYTqkEgwf
46,2024W10,21.0,474348,MBZYTqkEgwf
47,2024W11,15.0,474348,MBZYTqkEgwf
48,2024W12,18.0,474348,MBZYTqkEgwf
49,2024W13,20.0,474348,MBZYTqkEgwf
50,2024W14,17.0,474348,MBZYTqkEgwf
51,2024W15,24.0,474348,MBZYTqkEgwf
0,2023W21,1.0,434293,RdNV4tTRNEo
1,2023W22,,434293,RdNV4tTRNEo
2,2023W23,1.0,434293,RdNV4tTRNEo
3,2023W24,2.0,434293,RdNV4tTRNEo
4,2023W25,,434293,RdNV4tTRNEo
5,2023W26,,434293,RdNV4tTRNEo
6,2023W27,,434293,RdNV4tTRNEo
7,2023W28,,434293,RdNV4tTRNEo
8,2023W29,1.0,434293,RdNV4tTRNEo
9,2023W30,,434293,RdNV4tTRNEo
10,2023W31,,434293,RdNV4tTRNEo
11,2023W32,1.0,434293,RdNV4tTRNEo
12,2023W33,,434293,RdNV4tTRNEo
13,2023W34,,434293,RdNV4tTRNEo
14,2023W35,,434293,RdNV4tTRNEo
15,2023W36,,434293,RdNV4tTRNEo
16,2023W37,,434293,RdNV4tTRNEo
17,2023W38,,434293,RdNV4tTRNEo
18,2023W39,,434293,RdNV4tTRNEo
19,2023W40,,434293,RdNV4tTRNEo
20,2023W41,,434293,RdNV4tTRNEo
21,2023W42,,434293,RdNV4tTRNEo
22,2023W43,,434293,RdNV4tTRNEo
23,2023W44,15.0,434293,RdNV4tTRNEo
24,2023W45,17.0,434293,RdNV4tTRNEo
25,2023W46,21.0,434293,RdNV4tTRNEo
26,2023W47,12.0,434293,RdNV4tTRNEo
27,2023W48,20.0,434293,RdNV4tTRNEo
28,2023W49,18.0,434293,RdNV4tTRNEo
29,2023W50,21.0,434293,RdNV4tTRNEo
30,2023W51,21.0,434293,RdNV4tTRNEo
31,2023W52,23.0,434293,RdNV4tTRNEo
32,2024W1,29.0,434293,RdNV4tTRNEo
33,2024W2,32.0,434293,RdNV4tTRNEo
34,2024W3,27.0,434293,RdNV4tTRNEo
35,2024W4,18.0,434293,RdNV4tTRNEo
36,2024W5,23.0,434293,RdNV4tTRNEo
37,2024W6,19.0,434293,RdNV4tTRNEo
38,2024W7,20.0,434293,RdNV4tTRNEo
39,2024W8,20.0,434293,RdNV4tTRNEo
40,2024W9,17.0,434293,RdNV4tTRNEo
41,2024W10,26.0,434293,RdNV4tTRNEo
42,2024W11,24.0,434293,RdNV4tTRNEo
43,2024W12,12.0,434293,RdNV4tTRNEo
44,2024W13,28.0,434293,RdNV4tTRNEo
45,2024W14,15.0,434293,RdNV4tTRNEo
46,2024W15,21.0,434293,RdNV4tTRNEo
0,2023W17,3.0,457338,TOgZ99Jv0bN
1,2023W18,,457338,TOgZ99Jv0bN
2,2023W19,,457338,TOgZ99Jv0bN
3,2023W20,,457338,TOgZ99Jv0bN
4,2023W21,,457338,TOgZ99Jv0bN
5,2023W22,,457338,TOgZ99Jv0bN
6,2023W23,,457338,TOgZ99Jv0bN
7,2023W24,,457338,TOgZ99Jv0bN
8,2023W25,,457338,TOgZ99Jv0bN
9,2023W26,,457338,TOgZ99Jv0bN
10,2023W27,,457338,TOgZ99Jv0bN
11,2023W28,,457338,TOgZ99Jv0bN
12,2023W29,,457338,TOgZ99Jv0bN
13,2023W30,1.0,457338,TOgZ99Jv0bN
14,2023W31,,457338,TOgZ99Jv0bN
15,2023W32,3.0,457338,TOgZ99Jv0bN
16,2023W33,5.0,457338,TOgZ99Jv0bN
17,2023W34,,457338,TOgZ99Jv0bN
18,2023W35,1.0,457338,TOgZ99Jv0bN
19,2023W36,,457338,TOgZ99Jv0bN
20,2023W37,,457338,TOgZ99Jv0bN
21,2023W38,,457338,TOgZ99Jv0bN
22,2023W39,1.0,457338,TOgZ99Jv0bN
23,2023W40,,457338,TOgZ99Jv0bN
24,2023W41,,457338,TOgZ99Jv0bN
25,2023W42,1.0,457338,TOgZ99Jv0bN
26,2023W43,,457338,TOgZ99Jv0bN
27,2023W44,67.0,457338,TOgZ99Jv0bN
28,2023W45,64.0,457338,TOgZ99Jv0bN
29,2023W46,47.0,457338,TOgZ99Jv0bN
30,2023W47,39.0,457338,TOgZ99Jv0bN
31,2023W48,57.0,457338,TOgZ99Jv0bN
32,2023W49,62.0,457338,TOgZ99Jv0bN
33,2023W50,73.0,457338,TOgZ99Jv0bN
34,2023W51,54.0,457338,TOgZ99Jv0bN
35,2023W52,65.0,457338,TOgZ99Jv0bN
36,2024W1,79.0,457338,TOgZ99Jv0bN
37,2024W2,51.0,457338,TOgZ99Jv0bN
38,2024W3,52.0,457338,TOgZ99Jv0bN
39,2024W4,65.0,457338,TOgZ99Jv0bN
40,2024W5,66.0,457338,TOgZ99Jv0bN
41,2024W6,40.0,457338,TOgZ99Jv0bN
42,2024W7,54.0,457338,TOgZ99Jv0bN
43,2024W8,61.0,457338,TOgZ99Jv0bN
44,2024W9,55.0,457338,TOgZ99Jv0bN
45,2024W10,66.0,457338,TOgZ99Jv0bN
46,2024W11,37.0,457338,TOgZ99Jv0bN
47,2024W12,67.0,457338,TOgZ99Jv0bN
48,2024W13,68.0,457338,TOgZ99Jv0bN
49,2024W14,63.0,457338,TOgZ99Jv0bN
50,2024W15,73.0,457338,TOgZ99Jv0bN
0,2023W31,1.0,272115,VWGSudnonm5
1,2023W32,,272115,VWGSudnonm5
2,2023W33,1.0,272115,VWGSudnonm5
3,2023W34,,272115,VWGSudnonm5
4,2023W35,,272115,VWGSudnonm5
5,2023W36,,272115,VWGSudnonm5
6,2023W37,,272115,VWGSudnonm5
7,2023W38,,272115,VWGSudnonm5
8,2023W39,,272115,VWGSudnonm5
9,2023W40,,272115,VWGSudnonm5
10,2023W41,,272115,VWGSudnonm5
11,2023W42,,272115,VWGSudnonm5
12,2023W43,,272115,VWGSudnonm5
13,2023W44,43.0,272115,VWGSudnonm5
14,2023W45,42.0,272115,VWGSudnonm5
15,2023W46,39.0,272115,VWGSudnonm5
16,2023W47,31.0,272115,VWGSudnonm5
17,2023W48,38.0,272115,VWGSudnonm5
18,2023W49,36.0,272115,VWGSudnonm5
19,2023W50,46.0,272115,VWGSudnonm5
20,2023W51,41.0,272115,VWGSudnonm5
21,2023W52,61.0,272115,VWGSudnonm5
22,2024W1,44.0,272115,VWGSudnonm5
23,2024W2,41.0,272115,VWGSudnonm5
24,2024W3,57.0,272115,VWGSudnonm5
25,2024W4,59.0,272115,VWGSudnonm5
26,2024W5,48.0,272115,VWGSudnonm5
27,2024W6,46.0,272115,VWGSudnonm5
28,2024W7,61.0,272115,VWGSudnonm5
29,2024W8,61.0,272115,VWGSudnonm5
30,2024W9,63.0,272115,VWGSudnonm5
31,2024W10,58.0,272115,VWGSudnonm5
32,2024W11,74.0,272115,VWGSudnonm5
33,2024W12,60.0,272115,VWGSudnonm5
34,2024W13,61.0,272115,VWGSudnonm5
35,2024W14,47.0,272115,VWGSudnonm5
36,2024W15,45.0,272115,VWGSudnonm5
0,2023W16,11.0,989292,W6sNfkJcXGC
1,2023W17,11.0,989292,W6sNfkJcXGC
2,2023W18,6.0,989292,W6sNfkJcXGC
3,2023W19,18.0,989292,W6sNfkJcXGC
4,2023W20,13.0,989292,W6sNfkJcXGC
5,2023W21,48.0,989292,W6sNfkJcXGC
6,2023W22,15.0,989292,W6sNfkJcXGC
7,2023W23,8.0,989292,W6sNfkJcXGC
8,2023W24,7.0,989292,W6sNfkJcXGC
9,2023W25,6.0,989292,W6sNfkJcXGC
10,2023W26,3.0,989292,W6sNfkJcXGC
11,2023W27,3.0,989292,W6sNfkJcXGC
12,2023W28,2.0,989292,W6sNfkJcXGC
13,2023W29,1.0,989292,W6sNfkJcXGC
14,2023W30,1.0,989292,W6sNfkJcXGC
15,2023W31,4.0,989292,W6sNfkJcXGC
16,2023W32,2.0,989292,W6sNfkJcXGC
17,2023W33,,989292,W6sNfkJcXGC
18,2023W34,2.0,989292,W6sNfkJcXGC
19,2023W35,7.0,989292,W6sNfkJcXGC
20,2023W36,8.0,989292,W6sNfkJcXGC
21,2023W37,2.0,989292,W6sNfkJcXGC
22,2023W38,4.0,989292,W6sNfkJcXGC
23,2023W39,,989292,W6sNfkJcXGC
24,2023W40,,989292,W6sNfkJcXGC
25,2023W41,,989292,W6sNfkJcXGC
26,2023W42,,989292,W6sNfkJcXGC
27,2023W43,,989292,W6sNfkJcXGC
28,2023W44,14.0,989292,W6sNfkJcXGC
29,2023W45,22.0,989292,W6sNfkJcXGC
30,2023W46,16.0,989292,W6sNfkJcXGC
31,2023W47,4.0,989292,W6sNfkJcXGC
32,2023W48,12.0,989292,W6sNfkJcXGC
33,2023W49,12.0,989292,W6sNfkJcXGC
34,2023W50,11.0,989292,W6sNfkJcXGC
35,2023W51,8.0,989292,W6sNfkJcXGC
36,2023W52,9.0,989292,W6sNfkJcXGC
37,2024W1,21.0,989292,W6sNfkJcXGC
38,2024W2,13.0,989292,W6sNfkJcXGC
39,2024W3,14.0,989292,W6sNfkJcXGC
40,2024W4,16.0,989292,W6sNfkJcXGC
41,2024W5,20.0,989292,W6sNfkJcXGC
42,2024W6,17.0,989292,W6sNfkJcXGC
43,2024W7,16.0,989292,W6sNfkJcXGC
44,2024W8,9.0,989292,W6sNfkJcXGC
45,2024W9,11.0,989292,W6sNfkJcXGC
46,2024W10,16.0,989292,W6sNfkJcXGC
47,2024W11,12.0,989292,W6sNfkJcXGC
48,2024W12,11.0,989292,W6sNfkJcXGC
49,2024W13,17.0,989292,W6sNfkJcXGC
50,2024W14,16.0,989292,W6sNfkJcXGC
51,2024W15,8.0,989292,W6sNfkJcXGC
0,2023W16,8.0,205650,XKGgynPS1WZ
1,2023W17,7.0,205650,XKGgynPS1WZ
2,2023W18,21.0,205650,XKGgynPS1WZ
3,2023W19,44.0,205650,XKGgynPS1WZ
4,2023W20,47.0,205650,XKGgynPS1WZ
5,2023W21,23.0,205650,XKGgynPS1WZ
6,2023W22,40.0,205650,XKGgynPS1WZ
7,2023W23,21.0,205650,XKGgynPS1WZ
8,2023W24,9.0,205650,XKGgynPS1WZ
9,2023W25,9.0,205650,XKGgynPS1WZ
10,2023W26,7.0,205650,XKGgynPS1WZ
11,2023W27,13.0,205650,XKGgynPS1WZ
12,2023W28,3.0,205650,XKGgynPS1WZ
13,2023W29,2.0,205650,XKGgynPS1WZ
14,2023W30,4.0,205650,XKGgynPS1WZ
15,2023W31,6.0,205650,XKGgynPS1WZ
16,2023W32,4.0,205650,XKGgynPS1WZ
17,2023W33,2.0,205650,XKGgynPS1WZ
18,2023W34,,205650,XKGgynPS1WZ
19,2023W35,4.0,205650,XKGgynPS1WZ
20,2023W36,1.0,205650,XKGgynPS1WZ
21,2023W37,1.0,205650,XKGgynPS1WZ
22,2023W38,1.0,205650,XKGgynPS1WZ
23,2023W39,4.0,205650,XKGgynPS1WZ
24,2023W40,,205650,XKGgynPS1WZ
25,2023W41,,205650,XKGgynPS1WZ
26,2023W42,,205650,XKGgynPS1WZ
27,2023W43,1.0,205650,XKGgynPS1WZ
28,2023W44,20.0,205650,XKGgynPS1WZ
29,2023W45,30.0,205650,XKGgynPS1WZ
30,2023W46,25.0,205650,XKGgynPS1WZ
31,2023W47,26.0,205650,XKGgynPS1WZ
32,2023W48,26.0,205650,XKGgynPS1WZ
33,2023W49,30.0,205650,XKGgynPS1WZ
34,2023W50,22.0,205650,XKGgynPS1WZ
35,2023W51,21.0,205650,XKGgynPS1WZ
36,2023W52,28.0,205650,XKGgynPS1WZ
37,2024W1,32.0,205650,XKGgynPS1WZ
38,2024W2,30.0,205650,XKGgynPS1WZ
39,2024W3,24.0,205650,XKGgynPS1WZ
40,2024W4,33.0,205650,XKGgynPS1WZ
41,2024W5,38.0,205650,XKGgynPS1WZ
42,2024W6,30.0,205650,XKGgynPS1WZ
43,2024W7,28.0,205650,XKGgynPS1WZ
44,2024W8,36.0,205650,XKGgynPS1WZ
45,2024W9,40.0,205650,XKGgynPS1WZ
46,2024W10,38.0,205650,XKGgynPS1WZ
47,2024W11,31.0,205650,XKGgynPS1WZ
48,2024W12,23.0,205650,XKGgynPS1WZ
49,2024W13,38.0,205650,XKGgynPS1WZ
50,2024W14,45.0,205650,XKGgynPS1WZ
51,2024W15,29.0,205650,XKGgynPS1WZ
0,2023W32,1.0,196168,YvLOmtTQD6b
1,2023W33,,196168,YvLOmtTQD6b
2,2023W34,,196168,YvLOmtTQD6b
3,2023W35,,196168,YvLOmtTQD6b
4,2023W36,2.0,196168,YvLOmtTQD6b
5,2023W37,,196168,YvLOmtTQD6b
6,2023W38,,196168,YvLOmtTQD6b
7,2023W39,,196168,YvLOmtTQD6b
8,2023W40,,196168,YvLOmtTQD6b
9,2023W41,,196168,YvLOmtTQD6b
10,2023W42,,196168,YvLOmtTQD6b
11,2023W43,,196168,YvLOmtTQD6b
12,2023W44,9.0,196168,YvLOmtTQD6b
13,2023W45,8.0,196168,YvLOmtTQD6b
14,2023W46,11.0,196168,YvLOmtTQD6b
15,2023W47,8.0,196168,YvLOmtTQD6b
16,2023W48,7.0,196168,YvLOmtTQD6b
17,2023W49,8.0,196168,YvLOmtTQD6b
18,2023W50,7.0,196168,YvLOmtTQD6b
19,2023W51,4.0,196168,YvLOmtTQD6b
20,2023W52,7.0,196168,YvLOmtTQD6b
21,2024W1,11.0,196168,YvLOmtTQD6b
22,2024W2,9.0,196168,YvLOmtTQD6b
23,2024W3,5.0,196168,YvLOmtTQD6b
24,2024W4,7.0,196168,YvLOmtTQD6b
25,2024W5,11.0,196168,YvLOmtTQD6b
26,2024W6,7.0,196168,YvLOmtTQD6b
27,2024W7,4.0,196168,YvLOmtTQD6b
28,2024W8,17.0,196168,YvLOmtTQD6b
