,time_period,disease_cases,location,week_id
342,2023W16,3,FRmrFTE63D0,107235
163,2023W17,5,FRmrFTE63D0,107236
667,2023W18,9,FRmrFTE63D0,107237
155,2023W19,11,FRmrFTE63D0,107238
588,2023W20,19,FRmrFTE63D0,107239
578,2023W21,26,FRmrFTE63D0,107240
232,2023W22,48,FRmrFTE63D0,107241
207,2023W23,42,FRmrFTE63D0,107242
549,2023W24,45,FRmrFTE63D0,107243
550,2023W25,25,FRmrFTE63D0,107244
195,2023W26,18,FRmrFTE63D0,107245
218,2023W27,14,FRmrFTE63D0,107246
539,2023W28,20,FRmrFTE63D0,107247
540,2023W29,16,FRmrFTE63D0,107248
241,2023W30,8,FRmrFTE63D0,107249
580,2023W31,4,FRmrFTE63D0,107250
581,2023W32,6,FRmrFTE63D0,107251
231,2023W33,1,FRmrFTE63D0,107252
510,2023W34,2,FRmrFTE63D0,107253
335,2023W37,2,FRmrFTE63D0,107256
668,2023W39,1,FRmrFTE63D0,107258
316,2023W44,38,FRmrFTE63D0,107263
478,2023W45,29,FRmrFTE63D0,107264
634,2023W46,26,FRmrFTE63D0,107265
473,2023W47,18,FRmrFTE63D0,107266
287,2023W48,38,FRmrFTE63D0,107267
488,2023W49,36,FRmrFTE63D0,107268
320,2023W50,44,FRmrFTE63D0,107269
494,2023W51,27,FRmrFTE63D0,107270
666,2023W52,40,FRmrFTE63D0,107271
575,2024W1,33,FRmrFTE63D0,107273
573,2024W2,19,FRmrFTE63D0,107274
227,2024W3,31,FRmrFTE63D0,107275
224,2024W4,39,FRmrFTE63D0,107276
568,2024W5,27,FRmrFTE63D0,107277
567,2024W6,24,FRmrFTE63D0,107278
222,2024W7,23,FRmrFTE63D0,107279
225,2024W8,21,FRmrFTE63D0,107280
576,2024W9,31,FRmrFTE63D0,107281
134,2024W10,25,FRmrFTE63D0,107282
650,2024W11,33,FRmrFTE63D0,107283
142,2024W12,34,FRmrFTE63D0,107284
321,2024W13,28,FRmrFTE63D0,107285
140,2024W14,29,FRmrFTE63D0,107286
657,2024W15,27,FRmrFTE63D0,107287
596,2023W17,2,K27JzTKmBKh,107236
244,2023W18,2,K27JzTKmBKh,107237
184,2023W20,3,K27JzTKmBKh,107239
365,2023W21,3,K27JzTKmBKh,107240
201,2023W24,1,K27JzTKmBKh,107243
617,2023W34,1,K27JzTKmBKh,107253
699,2023W44,12,K27JzTKmBKh,107263
533,2023W45,13,K27JzTKmBKh,107264
290,2023W46,17,K27JzTKmBKh,107265
477,2023W47,6,K27JzTKmBKh,107266
626,2023W48,5,K27JzTKmBKh,107267
468,2023W49,7,K27JzTKmBKh,107268
456,2023W50,9,K27JzTKmBKh,107269
458,2023W51,12,K27JzTKmBKh,107270
461,2023W52,19,K27JzTKmBKh,107271
254,2024W1,18,K27JzTKmBKh,107273
265,2024W2,15,K27JzTKmBKh,107274
603,2024W3,6,K27JzTKmBKh,107275
610,2024W4,13,K27JzTKmBKh,107276
261,2024W5,13,K27JzTKmBKh,107277
266,2024W6,10,K27JzTKmBKh,107278
604,2024W7,19,K27JzTKmBKh,107279
623,2024W8,13,K27JzTKmBKh,107280
276,2024W9,14,K27JzTKmBKh,107281
173,2024W10,11,K27JzTKmBKh,107282
357,2024W11,12,K27JzTKmBKh,107283
174,2024W12,18,K27JzTKmBKh,107284
698,2024W13,25,K27JzTKmBKh,107285
179,2024W14,17,K27JzTKmBKh,107286
374,2024W15,9,K27JzTKmBKh,107287
