time_period,rainfall,mean_temperature,disease_cases,population,location
2010-01,37.965,20.04,1.0,75049.5636160714,Bokeo
2010-02,8.527,22.22,1.0,75049.5636160714,Bokeo
2010-03,23.591,24.59,2.0,75049.5636160714,Bokeo
2010-04,101.176,27.52,0.0,75049.5636160714,Bokeo
2010-05,106.366,27.23,1.0,75049.5636160714,Bokeo
2010-06,235.044,26.01,5.0,75049.5636160714,Bokeo
2010-07,512.741,24.6,9.0,75049.5636160714,Bokeo
2010-08,483.291,23.8,8.0,75049.5636160714,Bokeo
2010-09,282.196,23.74,27.0,75049.5636160714,Bokeo
2010-10,145.437,22.68,22.0,75049.5636160714,Bokeo
2010-11,6.601,20.44,18.0,75049.5636160714,Bokeo
2010-12,45.062,19.31,4.0,75049.5636160714,Bokeo
2011-01,29.189,18.16,1.0,76704.2431640625,Bokeo
2011-02,7.948,21.24,1.0,76704.2431640625,Bokeo
2011-03,95.081,21.08,1.0,76704.2431640625,Bokeo
2011-04,165.476,23.52,1.0,76704.2431640625,Bokeo
2011-05,309.719,23.51,3.0,76704.2431640625,Bokeo
2011-06,280.401,23.93,4.0,76704.2431640625,Bokeo
2011-07,395.965,24.14,6.0,76704.2431640625,Bokeo
2011-08,394.6,23.5,10.0,76704.2431640625,Bokeo
2011-09,346.165,23.28,8.0,76704.2431640625,Bokeo
2011-10,65.909,22.71,10.0,76704.2431640625,Bokeo
2011-11,11.921,20.2,6.0,76704.2431640625,Bokeo
2011-12,5.966,18.21,3.0,76704.2431640625,Bokeo
2012-01,48.604,18.88,2.0,78358.9227120536,Bokeo
2012-02,10.379,22.47,2.0,78358.9227120536,Bokeo
2012-03,45.608,24.01,1.0,78358.9227120536,Bokeo
2012-04,75.97,25.76,2.0,78358.9227120536,Bokeo
2012-05,372.717,24.78,5.0,78358.9227120536,Bokeo
2012-06,234.729,24.37,10.0,78358.9227120536,Bokeo
2012-07,434.478,23.16,17.0,78358.9227120536,Bokeo
