,time_period,rainfall,mean_temperature,disease_cases,population,location
0,2003-12-29/2004-01-04,0.0010518380510041632,295.72694702317347,7.0,100018,boaco
1,2004-01-05/2004-01-11,0.0002226313951621567,295.3706438664568,2.0,100588,boaco
2,2004-01-12/2004-01-18,0.0007321023119608594,296.14071163396255,6.0,100319,boaco
3,2004-01-19/2004-01-25,0.000471352012092696,295.6668022641547,0.0,100731,boaco
4,2004-01-26/2004-02-01,0.0006728184643959347,295.7381052897496,1.0,100771,boaco
5,2004-02-02/2004-02-08,0.0021273284599140894,295.78821045965833,5.0,100487,boaco
6,2004-02-09/2004-02-15,0.0007623659693571803,296.2728450597401,3.0,100726,boaco
7,2004-02-16/2004-02-22,0.0004929745912587177,297.4898328459417,8.0,100725,boaco
8,2004-02-23/2004-02-29,0.0028329728650866087,295.9820859874073,1.0,100989,boaco
9,2004-03-01/2004-03-07,0.0005317088366547263,296.3701207001904,2.0,100995,boaco
10,2004-03-08/2004-03-14,0.001390142725402143,297.222586827617,1.0,100259,boaco
11,2004-03-15/2004-03-21,0.0011809835136114793,297.12435607801586,2.0,100027,boaco
12,2004-03-22/2004-03-28,0.0006878518704286675,297.0929917040541,3.0,100055,boaco
13,2004-03-29/2004-04-04,0.0005092052513969258,298.8714306644567,0.0,100424,boaco
14,2004-04-05/2004-04-11,0.00018469052906874907,298.8357904735006,1.0,100291,boaco
15,2004-04-12/2004-04-18,0.00044837657437812997,298.5528835256015,4.0,100224,boaco
16,2004-04-19/2004-04-25,0.0022848160482286566,298.56762852307844,5.0,100759,boaco
17,2004-04-26/2004-05-02,0.0009084237834629463,298.80937232062365,1.0,100474,boaco
18,2004-05-03/2004-05-09,0.0022599643852900635,298.3342139481141,0.0,100004,boaco
19,2004-05-10/2004-05-16,0.012642913552386446,295.82519446438744,1.0,100577,boaco
20,2004-05-17/2004-05-23,0.0047458945075110155,296.7188915348797,2.0,100886,boaco
21,2004-05-24/2004-05-30,0.005358417244709962,296.2371797987914,9.0,100397,boaco
22,2004-05-31/2004-06-06,0.006509091203093569,296.1225154407412,8.0,100995,boaco
23,2004-06-07/2004-06-13,0.0040312667793288735,297.09169715259645,8.0,100026,boaco
24,2004-06-14/2004-06-20,0.005840508517675993,296.1099026959682,5.0,100683,boaco
25,2004-06-21/2004-06-27,0.002591557472576921,296.4356916113139,3.0,100143,boaco
26,2004-06-28/2004-07-04,0.004376173517706044,295.6862996499699,3.0,100033,boaco
27,2004-07-05/2004-07-11,0.00424246442743439,295.8453566548997,2.0,100096,boaco
28,2004-07-12/2004-07-18,0.0017982823480040746,296.9527124822731,3.0,100684,boaco
29,2004-07-19/2004-07-25,0.002356673403105262,297.10923098874406,0.0,100533,boaco
30,2004-07-26/2004-08-01,0.003111731998057003,296.9883606394157,3.0,100746,boaco
31,2004-08-02/2004-08-08,0.0031131632960403155,297.59310393300257,6.0,100222,boaco
32,2004-08-09/2004-08-15,0.0030117433825019337,296.8258882299798,4.0,100264,boaco
33,2004-08-16/2004-08-22,0.004448566948121206,296.30483936323486,5.0,100334,boaco
34,2004-08-23/2004-08-29,0.001824360042952433,297.12990936457857,5.0,100887,boaco
35,2004-08-30/2004-09-05,0.0025997767713331088,297.44360986923135,6.0,100087,boaco
36,2004-09-06/2004-09-12,0.005051528418077541,297.4543534710566,2.0,100215,boaco
37,2004-09-13/2004-09-19,0.005675204375771724,297.14520903355515,4.0,100930,boaco
38,2004-09-20/2004-09-26,0.005615669391039904,296.6578520483894,4.0,100832,boaco
39,2004-09-27/2004-10-03,0.003684770341771465,296.2626710652853,14.0,100286,boaco
40,2004-10-04/2004-10-10,0.00395019677137524,297.5048922543382,9.0,100292,boaco
41,2004-10-11/2004-10-17,0.0026197877825058576,296.8781255035996,7.0,100308,boaco
42,2004-10-18/2004-10-24,0.0013283202002852997,296.67314824730244,10.0,100435,boaco
43,2004-10-25/2004-10-31,0.004327196298787594,296.21231029799236,4.0,100356,boaco
44,2004-11-01/2004-11-07,0.0007156557576670899,295.97011901868336,5.0,100147,boaco
45,2004-11-08/2004-11-14,0.0006188840089360809,295.92307220590084,9.0,100459,boaco
46,2004-11-15/2004-11-21,0.0021781334319741024,295.96002133184663,4.0,100343,boaco
47,2004-11-22/2004-11-28,0.0013128959530032595,295.61857604839724,2.0,100066,boaco
48,2004-11-29/2004-12-05,0.0011339865064011688,295.85079842450216,5.0,100255,boaco
49,2004-12-06/2004-12-12,0.0003241532155114078,295.8089045388473,1.0,100758,boaco
50,2004-12-13/2004-12-19,0.0005399337566724075,296.253775329598,1.0,100531,boaco
51,2004-12-20/2004-12-26,0.0008574238959909882,295.2682936308682,2.0,100530,boaco
52,2004-12-27/2005-01-02,0.0015249750985179922,295.33330374469796,3.0,100397,boaco
53,2005-01-03/2005-01-09,0.0011876478460010062,295.6000488732853,4.0,100438,boaco
54,2005-01-10/2005-01-16,3.931839085760661e-05,294.46875909097133,3.0,100779,boaco
55,2005-01-17/2005-01-23,0.00011733577920408216,294.8875248203443,3.0,100514,boaco
56,2005-01-24/2005-01-30,0.0008510012750837196,295.40876735093707,4.0,100180,boaco
57,2005-01-31/2005-02-06,0.00028475337197569146,294.9959552112622,2.0,100027,boaco
58,2005-02-07/2005-02-13,5.6192459924036484e-05,296.03106888612814,2.0,100000,boaco
59,2005-02-14/2005-02-20,0.0004811689932741703,296.3755158555676,3.0,100618,boaco
60,2005-02-21/2005-02-27,0.00016056740428886787,299.0550454839634,2.0,100417,boaco
61,2005-02-28/2005-03-06,0.0006811143265822499,298.7202956692066,1.0,100703,boaco
62,2005-03-07/2005-03-13,0.0006017655539692427,298.9990719777735,0.0,100508,boaco
63,2005-03-14/2005-03-20,0.00021802975637680397,299.45839170733007,0.0,100171,boaco
64,2005-03-21/2005-03-27,0.0007424780964495491,299.21229901355,5.0,100331,boaco
65,2005-03-28/2005-04-03,0.0005611744507594462,299.3361632716875,0.0,100154,boaco
66,2005-04-04/2005-04-10,0.0002737064852074526,301.115447148929,1.0,100727,boaco
67,2005-04-11/2005-04-17,0.00121868295406161,299.94510990462925,0.0,100407,boaco
68,2005-04-18/2005-04-24,0.00043090579723400953,299.1213369582642,1.0,100827,boaco
69,2005-04-25/2005-05-01,0.0005101630368747226,299.73258241882263,0.0,100961,boaco
70,2005-05-02/2005-05-08,0.0036024436812505637,297.9970421088338,1.0,100815,boaco
71,2005-05-09/2005-05-15,0.011957027305425154,297.0127243152179,5.0,100993,boaco
72,2005-05-16/2005-05-22,0.005142743668961358,297.658035075843,5.0,100661,boaco
73,2005-05-23/2005-05-29,0.011256819204959615,297.6771438784824,19.0,100901,boaco
74,2005-05-30/2005-06-05,0.012012856246267035,296.72606753739984,15.0,100276,boaco
75,2005-06-06/2005-06-12,0.006269368307744366,297.7176628173114,13.0,100388,boaco
76,2005-06-13/2005-06-19,0.009626784186182475,296.9941660470659,25.0,100633,boaco
77,2005-06-20/2005-06-26,0.007103113363011831,296.5654774795925,12.0,100812,boaco
78,2005-06-27/2005-07-03,0.004322101243328667,297.4680689922899,11.0,100781,boaco
79,2005-07-04/2005-07-10,0.008861375259983885,296.50218977416444,8.0,100266,boaco
80,2005-07-11/2005-07-17,0.006108989261185444,296.78933711497314,7.0,100672,boaco
81,2005-07-18/2005-07-24,0.004335699766455503,296.67167705597825,2.0,100662,boaco
82,2005-07-25/2005-07-31,0.0029316612773780744,297.4365767043225,7.0,100828,boaco
83,2005-08-01/2005-08-07,0.0032214569408965834,296.9756015855604,7.0,100180,boaco
84,2005-08-08/2005-08-14,0.00563492001045096,296.2154110515015,8.0,100473,boaco
85,2005-08-15/2005-08-21,0.005728747776562978,296.79645016815203,11.0,100316,boaco
86,2005-08-22/2005-08-28,0.004258948695540307,297.28844893393375,0.0,100825,boaco
87,2005-08-29/2005-09-04,0.004058371759410597,296.9596850262296,15.0,100943,boaco
88,2005-09-05/2005-09-11,0.005197751292532571,296.95630545337673,6.0,100142,boaco
89,2005-09-12/2005-09-18,0.004902995047908798,296.9832120817371,11.0,100893,boaco
90,2005-09-19/2005-09-25,0.00901780486832677,296.5642172805172,11.0,100405,boaco
91,2005-09-26/2005-10-02,0.0025868597258317345,296.3963725107922,20.0,100044,boaco
92,2005-10-03/2005-10-09,0.00806812833870437,296.2096874839064,13.0,100843,boaco
93,2005-10-10/2005-10-16,0.0034899537141984045,296.7475570515443,16.0,100957,boaco
94,2005-10-17/2005-10-23,0.0021808888911519398,296.14779544535156,13.0,100796,boaco
95,2005-10-24/2005-10-30,0.010308470178139646,295.51879623291643,18.0,100869,boaco
96,2005-10-31/2005-11-06,0.002579931507536188,295.9132749803605,18.0,100727,boaco
97,2005-11-07/2005-11-13,0.014881198582431638,295.313502183424,7.0,100348,boaco
98,2005-11-14/2005-11-20,0.0008971351558615355,294.9496882314197,4.0,100673,boaco
99,2005-11-21/2005-11-27,0.0010158923386193912,295.8629676827696,10.0,100065,boaco
100,2005-11-28/2005-12-04,0.0012192813596913475,295.59243506709663,1.0,100312,boaco
101,2005-12-05/2005-12-11,0.001151886373777891,295.8042637464897,3.0,100997,boaco
102,2005-12-12/2005-12-18,0.0021113697189480505,295.1314267390342,0.0,100446,boaco
103,2005-12-19/2005-12-25,0.0013675957751389494,295.6226296242898,2.0,100887,boaco
104,2005-12-26/2006-01-01,0.0007877978870753288,295.42477203094074,1.0,100013,boaco
105,2006-01-02/2006-01-08,0.0009045300804976423,294.9289953514114,2.0,100265,boaco
106,2006-01-09/2006-01-15,0.0012473109831438115,295.0839435196164,2.0,100506,boaco
107,2006-01-16/2006-01-22,0.0012216609491793684,295.3762657240728,1.0,100424,boaco
108,2006-01-23/2006-01-29,0.00144962190205471,295.3718081887905,1.0,100777,boaco
109,2006-01-30/2006-02-05,0.001504894640662985,295.40297943214165,2.0,100370,boaco
110,2006-02-06/2006-02-12,0.0006247035888659246,295.118905079307,0.0,100454,boaco
111,2006-02-13/2006-02-19,0.001496930400966597,295.6065366862822,0.0,100327,boaco
112,2006-02-20/2006-02-26,0.0007118228327138131,295.8946952650926,0.0,100586,boaco
113,2006-02-27/2006-03-05,0.00013664029973844575,296.1749828834461,5.0,100210,boaco
114,2006-03-06/2006-03-12,0.0016541116424048246,296.17039285539556,1.0,100269,boaco
115,2006-03-13/2006-03-19,0.000440663495076629,296.9531525873872,1.0,100311,boaco
116,2006-03-20/2006-03-26,0.00046613393348266435,297.15574526037824,1.0,100236,boaco
117,2006-03-27/2006-04-02,0.0003714562583675702,297.59954896155176,1.0,100898,boaco
118,2006-04-03/2006-04-09,0.0003468683918534514,298.3610011363569,0.0,100469,boaco
119,2006-04-10/2006-04-16,0.00049004348316519,299.49962130242346,0.0,100179,boaco
120,2006-04-17/2006-04-23,0.001499652792571853,298.8702788671663,1.0,100744,boaco
121,2006-04-24/2006-04-30,0.0007786454228491505,298.9439763926314,0.0,100819,boaco
122,2006-05-01/2006-05-07,0.0011946700708702202,299.2931213246201,0.0,100688,boaco
123,2006-05-08/2006-05-14,0.012336168174346717,298.3047595694677,1.0,100139,boaco
124,2006-05-15/2006-05-21,0.004563633309246397,297.03128009050573,0.0,100414,boaco
125,2006-05-22/2006-05-28,0.00032097743235804825,298.1180914435085,0.0,100206,boaco
126,2006-05-29/2006-06-04,0.012300522430541567,296.9889319962951,0.0,100194,boaco
127,2006-06-05/2006-06-11,0.0065883595349086384,296.44569414244563,1.0,100145,boaco
