"province_name","location","year","week","disease_cases","weekly_diarrhea_cases","population","rainfall","mean_temperature","max_temperature","min_temperature","rainsum_std"
"01 Vientiane Capital",1,2015,1,0,38,844026,0,22.5,29.15,15.8,-0.66477514015161
"01 Vientiane Capital",1,2015,2,0,65,844026,13.7,21.5,24.9428571428571,18.0142857142857,-0.350351149750513
"01 Vientiane Capital",1,2015,3,0,67,844026,0,20.2571428571429,26.2571428571429,14.2142857142857,-0.66477514015161
"01 Vientiane Capital",1,2015,4,0,116,844026,0,24.0285714285714,30.5428571428571,17.4571428571429,-0.66477514015161
"01 Vientiane Capital",1,2015,5,0,132,844026,0,24.5857142857143,30.7571428571429,18.3714285714286,-0.66477514015161
"01 Vientiane Capital",1,2015,6,0,99,844026,0,23.0571428571429,28.2857142857143,17.7857142857143,-0.66477514015161
"01 Vientiane Capital",1,2015,7,0,198,844026,15.1,24.8714285714286,29.7714285714286,19.9285714285714,-0.318220231023394
"01 Vientiane Capital",1,2015,8,0,190,844026,16.2,26.6714285714286,31.5857142857143,21.7428571428571,-0.292974509166371
"01 Vientiane Capital",1,2015,9,0,163,844026,0,28.9285714285714,35.3571428571429,22.4428571428571,-0.66477514015161
"01 Vientiane Capital",1,2015,10,0,80,844026,3.6,30.3714285714286,35.9571428571429,24.7142857142857,-0.582152777710446
"01 Vientiane Capital",1,2015,11,0,120,844026,0,29.2,34.3571428571429,23.9857142857143,-0.66477514015161
"01 Vientiane Capital",1,2015,12,0,85,844026,13.2,29.4857142857143,33.3571428571429,25.5857142857143,-0.361826477867341
"01 Vientiane Capital",1,2015,13,0,108,844026,2.9,27.9857142857143,33.1428571428571,22.8,-0.598218237074006
"01 Vientiane Capital",1,2015,14,0,57,844026,0,31.2,37.8285714285714,24.5428571428571,-0.66477514015161
"01 Vientiane Capital",1,2015,15,0,33,844026,15.1,27.8142857142857,32.4285714285714,23.1428571428571,-0.318220231023394
"01 Vientiane Capital",1,2015,16,0,62,844026,0,30.3428571428571,37.5428571428571,23.1142857142857,-0.66477514015161
"01 Vientiane Capital",1,2015,17,2,48,844026,19.2,28.7142857142857,32.9714285714286,24.4142857142857,-0.224122540465401
"01 Vientiane Capital",1,2015,18,0,76,844026,1.8,31.4285714285714,37.0857142857143,25.7285714285714,-0.623463958931028
"01 Vientiane Capital",1,2015,19,0,90,844026,15.6,31.3571428571429,36.9714285714286,25.7142857142857,-0.306744902906565
"01 Vientiane Capital",1,2015,20,8,83,844026,9.3,30.5571428571429,35.4428571428571,25.6285714285714,-0.451334037178603
"01 Vientiane Capital",1,2015,21,0,71,844026,14.1,31.3142857142857,35.7142857142857,26.8714285714286,-0.34117088725705
"01 Vientiane Capital",1,2015,22,0,69,844026,17.9,31,35.9428571428571,26.0285714285714,-0.253958393569155
"01 Vientiane Capital",1,2015,23,2,68,844026,44.6,30.4285714285714,34.8571428571429,25.9285714285714,0.358824127869479
"01 Vientiane Capital",1,2015,24,2,49,844026,52.1,29.7285714285714,34.1,25.3428571428571,0.530954049621905
"01 Vientiane Capital",1,2015,25,0,28,844026,3.8,31.1285714285714,35.4428571428571,26.7714285714286,-0.577562646463715
"01 Vientiane Capital",1,2015,26,0,94,844026,8.3,30.3428571428571,34.1,26.5285714285714,-0.474284693412259
"01 Vientiane Capital",1,2015,27,6,85,844026,67,32.2,36.8428571428571,27.4714285714286,0.87291882750339
"01 Vientiane Capital",1,2015,28,0,89,844026,12.3,29.1857142857143,32.9714285714286,25.3714285714286,-0.382482068477632
"01 Vientiane Capital",1,2015,29,4,51,844026,106.5,28.2285714285714,30.8,25.6142857142857,1.77946974873283
"01 Vientiane Capital",1,2015,30,4,63,844026,46.4,27.2,29.5714285714286,24.7714285714286,0.400135309090061
"01 Vientiane Capital",1,2015,31,6,35,844026,177,26.9142857142857,29.6428571428571,24.1285714285714,3.39749101320563
"01 Vientiane Capital",1,2015,32,6,34,844026,11.8,29.2857142857143,33.0142857142857,25.5142857142857,-0.393957396594461
"01 Vientiane Capital",1,2015,33,0,67,844026,12.3,29.6571428571429,33.7571428571429,25.5428571428571,-0.382482068477632
"01 Vientiane Capital",1,2015,34,16,66,844026,82.7,29.9857142857143,33.9,26.0142857142857,1.2332441303718
"01 Vientiane Capital",1,2015,35,14,40,844026,35.9,28.4428571428571,31.2571428571429,25.6142857142857,0.159153418636666
"01 Vientiane Capital",1,2015,36,10,62,844026,48.4,28.5571428571429,32.2428571428571,24.8285714285714,0.446036621557375
"01 Vientiane Capital",1,2015,37,10,39,844026,43.3,28.9428571428571,32.6,25.2285714285714,0.328988274765726
"01 Vientiane Capital",1,2015,38,16,42,844026,144.4,28.5428571428571,31.9285714285714,25.1,2.64929961998842
"01 Vientiane Capital",1,2015,39,20,46,844026,5.8,29.6714285714286,33.5142857142857,25.7857142857143,-0.531661333996401
"01 Vientiane Capital",1,2015,40,14,39,844026,32.8,28.6,32.5142857142857,24.6571428571429,0.0880063843123301
"01 Vientiane Capital",1,2015,41,10,24,844026,55,26.6,29.7142857142857,23.4571428571429,0.597510952699509
"01 Vientiane Capital",1,2015,42,10,43,844026,0,28.3857142857143,32.4,24.3,-0.66477514015161
"01 Vientiane Capital",1,2015,43,16,35,844026,0,28.1571428571429,32.3142857142857,23.9428571428571,-0.66477514015161
"01 Vientiane Capital",1,2015,44,20,29,844026,1.3,28.4142857142857,32.7285714285714,24.0714285714286,-0.634939287047856
"01 Vientiane Capital",1,2015,45,14,57,844026,23.6,28.3571428571429,32.6428571428571,24.0571428571429,-0.123139653037312
"01 Vientiane Capital",1,2015,46,36,54,844026,5.3,29.0285714285714,33.4857142857143,24.5285714285714,-0.543136662113229
"01 Vientiane Capital",1,2015,47,32,47,844026,41.1,28.6571428571429,33.3142857142857,23.9571428571429,0.278496831051681
"01 Vientiane Capital",1,2015,48,44,50,844026,0,27.2857142857143,32.0571428571429,22.4571428571429,-0.66477514015161
"01 Vientiane Capital",1,2015,49,38,30,844026,12.8,25.8,29.3142857142857,22.2428571428571,-0.371006740360804
"01 Vientiane Capital",1,2015,50,30,39,844026,0,26.4714285714286,31.8428571428571,21.0571428571429,-0.66477514015161
"01 Vientiane Capital",1,2015,51,40,32,844026,0,23.1,27.9,18.2714285714286,-0.66477514015161
"01 Vientiane Capital",1,2015,52,54,23,844026,0,25.9428571428571,29.4,22.4571428571429,-0.66477514015161
"01 Vientiane Capital",1,2015,53,0,5,844026,0,24.85,30.3,19.4,-0.66477514015161
"01 Vientiane Capital",1,2016,1,2,52,864954,0,24.6166666666667,30.4833333333333,18.7,-0.66477514015161
"01 Vientiane Capital",1,2016,2,7,63,864954,0,25,30.4714285714286,19.5,-0.66477514015161
"01 Vientiane Capital",1,2016,3,3,74,864954,2.3,26.3285714285714,31.3857142857143,21.1714285714286,-0.6119886308142
"01 Vientiane Capital",1,2016,4,0,54,864954,34.7,18.9428571428571,21.7,16.1428571428571,0.131612631156278
"01 Vientiane Capital",1,2016,5,0,35,864954,1.6,23.5428571428571,28.7571428571429,18.2571428571429,-0.628054090177759
"01 Vientiane Capital",1,2016,6,1,58,864954,0,20.5142857142857,26.3428571428571,14.6714285714286,-0.66477514015161
"01 Vientiane Capital",1,2016,7,0,69,864954,0,24.3428571428571,31.5142857142857,17.1142857142857,-0.66477514015161
"01 Vientiane Capital",1,2016,8,0,67,864954,0,25.2428571428571,30.5428571428571,19.9142857142857,-0.66477514015161
"01 Vientiane Capital",1,2016,9,1,96,864954,0,23.2,28.9857142857143,17.3714285714286,-0.66477514015161
"01 Vientiane Capital",1,2016,10,0,90,864954,0,28.1714285714286,34.1714285714286,22.1571428571429,-0.66477514015161
"01 Vientiane Capital",1,2016,11,1,165,864954,0,28.8857142857143,34.5571428571429,23.1571428571429,-0.66477514015161
"01 Vientiane Capital",1,2016,12,0,135,864954,0,31.5285714285714,38.8285714285714,24.1714285714286,-0.66477514015161
"01 Vientiane Capital",1,2016,13,0,104,864954,0,26.5857142857143,31.6,21.5285714285714,-0.66477514015161
"01 Vientiane Capital",1,2016,14,1,99,864954,3.2,30.1142857142857,36.1571428571429,24.0571428571429,-0.591333040203909
"01 Vientiane Capital",1,2016,15,1,41,864954,0,33.1571428571429,39.6714285714286,26.6285714285714,-0.66477514015161
"01 Vientiane Capital",1,2016,16,3,130,864954,1.5,33.2857142857143,39.1285714285714,27.4,-0.630349155801125
"01 Vientiane Capital",1,2016,17,3,143,864954,0,32.7285714285714,38.8714285714286,26.5285714285714,-0.66477514015161
"01 Vientiane Capital",1,2016,18,9,33,864954,41.8,29.7,34.1714285714286,25.1714285714286,0.294562290415241
"01 Vientiane Capital",1,2016,19,0,72,864954,0,33.0571428571429,38.4857142857143,27.5571428571429,-0.66477514015161
"01 Vientiane Capital",1,2016,20,1,83,864954,60.5,30.8142857142857,35.2142857142857,26.3714285714286,0.723739561984621
"01 Vientiane Capital",1,2016,21,1,45,864954,49.4,30.1142857142857,34.3571428571429,25.8428571428571,0.468987277791032
"01 Vientiane Capital",1,2016,22,0,38,864954,159.4,29.0428571428571,32.5571428571429,25.5,2.99355946349327
"01 Vientiane Capital",1,2016,23,38,58,864954,52.6,29.2857142857143,32.9142857142857,25.6,0.542429377738733
"01 Vientiane Capital",1,2016,24,0,66,864954,2.8,30.2428571428571,33.8857142857143,26.5714285714286,-0.600513302697371
"01 Vientiane Capital",1,2016,25,2,53,864954,18.8,29.6,33.0428571428571,26.1142857142857,-0.233302802958864
"01 Vientiane Capital",1,2016,26,1,50,864954,66.9,28.9857142857143,32.8714285714286,25.0714285714286,0.870623761880024
"01 Vientiane Capital",1,2016,27,7,64,864954,124.9,27.6857142857143,30.1142857142857,25.2,2.20176182343211
"01 Vientiane Capital",1,2016,28,7,38,864954,38.6,29.8428571428571,33.5571428571429,26.1142857142857,0.221120190467539
"01 Vientiane Capital",1,2016,29,14,62,864954,1.4,30.1285714285714,33.8714285714286,26.3428571428571,-0.632644221424491
"01 Vientiane Capital",1,2016,30,17,34,864954,65.5,28.9571428571429,33.2285714285714,24.6428571428571,0.838492843152905
"01 Vientiane Capital",1,2016,31,19,43,864954,47.9,28.4142857142857,31.9285714285714,24.8857142857143,0.434561293440547
"01 Vientiane Capital",1,2016,32,28,42,864954,36,28.9428571428571,32.1142857142857,25.7428571428571,0.161448484260032
"01 Vientiane Capital",1,2016,33,18,37,864954,26.2,28.2857142857143,30.4285714285714,26.1142857142857,-0.0634679468298042
"01 Vientiane Capital",1,2016,34,17,32,864954,86.4,28.9285714285714,32.5571428571429,25.2571428571429,1.31816155843633
"01 Vientiane Capital",1,2016,35,35,46,864954,36.8,28.8285714285714,32.1142857142857,25.5142857142857,0.179809009246957
"01 Vientiane Capital",1,2016,36,51,55,864954,91.9,28.8142857142857,31.7428571428571,25.8571428571429,1.44439016772144
"01 Vientiane Capital",1,2016,37,46,21,864954,65.1,27.9142857142857,31.0857142857143,24.7,0.829312580659442
"01 Vientiane Capital",1,2016,38,36,39,864954,85.3,29.0714285714286,33.2428571428571,24.8714285714286,1.29291583657931
"01 Vientiane Capital",1,2016,39,67,32,864954,19.9,29.5428571428571,33.9428571428571,25.0857142857143,-0.208057081101841
"01 Vientiane Capital",1,2016,40,101,13,864954,61.9,28.8714285714286,32.2285714285714,25.5,0.75587048071174
"01 Vientiane Capital",1,2016,41,82,27,864954,19.9,29.3571428571429,33.2857142857143,25.3857142857143,-0.208057081101841
"01 Vientiane Capital",1,2016,42,65,33,864954,16.8,28.2857142857143,32.1714285714286,24.3714285714286,-0.279204115426177
"01 Vientiane Capital",1,2016,43,54,29,864954,61.5,28.9714285714286,33.1714285714286,24.7142857142857,0.746690218218278
"01 Vientiane Capital",1,2016,44,90,22,864954,0,29.2571428571429,33.3857142857143,25.1,-0.66477514015161
"01 Vientiane Capital",1,2016,45,94,21,864954,51.2,26.8571428571429,30.5857142857143,23.1,0.510298459011614
"01 Vientiane Capital",1,2016,46,38,31,864954,0,27.3714285714286,31.7,23.0285714285714,-0.66477514015161
"01 Vientiane Capital",1,2016,47,65,41,864954,0,27.8,32.9571428571429,22.5857142857143,-0.66477514015161
"01 Vientiane Capital",1,2016,48,77,41,864954,0,26.0285714285714,30.6,21.4,-0.66477514015161
"01 Vientiane Capital",1,2016,49,45,23,864954,0,25.0714285714286,29.8428571428571,20.2714285714286,-0.66477514015161
"01 Vientiane Capital",1,2016,50,20,38,864954,0,24.3571428571429,30.2857142857143,18.3714285714286,-0.66477514015161
"01 Vientiane Capital",1,2016,51,22,52,864954,0,25.5,30.3142857142857,20.6571428571429,-0.66477514015161
"01 Vientiane Capital",1,2016,52,12,51,864954,0,25.6571428571429,31.1142857142857,20.1714285714286,-0.66477514015161
"01 Vientiane Capital",1,2016,53,0,5,864954,5.4,22,27.2333333333333,16.7333333333333,-0.540841596489864
"01 Vientiane Capital",1,2017,1,17,48,885910,0,25.4333333333333,29.7,21.15,-0.66477514015161
"01 Vientiane Capital",1,2017,2,16,88,885910,1.3,26.2428571428571,29.7714285714286,22.6428571428571,-0.634939287047856
"01 Vientiane Capital",1,2017,3,22,81,885910,0,26.0428571428571,31.0714285714286,20.9714285714286,-0.66477514015161
"01 Vientiane Capital",1,2017,4,9,85,885910,0,24.5714285714286,29.8285714285714,19.2857142857143,-0.66477514015161
"01 Vientiane Capital",1,2017,5,13,84,885910,0,25.0714285714286,30.7857142857143,19.3285714285714,-0.66477514015161
"01 Vientiane Capital",1,2017,6,4,102,885910,0,25.7857142857143,32.1857142857143,19.3571428571429,-0.66477514015161
"01 Vientiane Capital",1,2017,7,9,109,885910,0,23.0571428571429,28.9571428571429,17.1428571428571,-0.66477514015161
"01 Vientiane Capital",1,2017,8,11,117,885910,0,26.7428571428571,33.3142857142857,20.1571428571429,-0.66477514015161
"01 Vientiane Capital",1,2017,9,0,151,885910,0,25,29.7714285714286,20.1714285714286,-0.66477514015161
"01 Vientiane Capital",1,2017,10,7,101,885910,0,28.2714285714286,33.7285714285714,22.7857142857143,-0.66477514015161
"01 Vientiane Capital",1,2017,11,2,141,885910,21,30.0714285714286,36.0857142857143,24.0428571428571,-0.182811359244819
"01 Vientiane Capital",1,2017,12,1,123,885910,0.4,28.5142857142857,33.5857142857143,23.4142857142857,-0.655594877658147
"01 Vientiane Capital",1,2017,13,3,73,885910,50.1,27.8857142857143,32.2,23.5428571428571,0.485052737154591
"01 Vientiane Capital",1,2017,14,4,104,885910,0,27.7285714285714,32.3,23.1142857142857,-0.66477514015161
"01 Vientiane Capital",1,2017,15,0,87,885910,15.4,30.6571428571429,35.4857142857143,25.8,-0.311335034153297
"01 Vientiane Capital",1,2017,16,2,74,885910,82.5,31,36.0142857142857,25.9571428571429,1.22865399912507
"01 Vientiane Capital",1,2017,17,14,122,885910,7.5,29.1857142857143,33.5714285714286,24.7714285714286,-0.492645218399185
"01 Vientiane Capital",1,2017,18,23,101,885910,2.7,31.4571428571429,36.9428571428571,25.9714285714286,-0.602808368320737
"01 Vientiane Capital",1,2017,19,17,76,885910,15.5,30.0571428571429,34.4,25.7,-0.309039968529931
"01 Vientiane Capital",1,2017,20,13,74,885910,135.4,27.1714285714286,30.0857142857143,24.2285714285714,2.44274371388551
"01 Vientiane Capital",1,2017,21,21,64,885910,32.7,30.0428571428571,33.8714285714286,26.1714285714286,0.0857113186889645
"01 Vientiane Capital",1,2017,22,27,57,885910,0,30.5571428571429,34.5428571428571,26.5714285714286,-0.66477514015161
"01 Vientiane Capital",1,2017,23,41,59,885910,95.2,29.9714285714286,33.9285714285714,25.9285714285714,1.52012733329251
"01 Vientiane Capital",1,2017,24,45,62,885910,37.6,29.1,32.3285714285714,25.8,0.198169534233882
"01 Vientiane Capital",1,2017,25,64,80,885910,24.4,30.3714285714286,34.1,26.6142857142857,-0.104779128050386
"01 Vientiane Capital",1,2017,26,83,65,885910,126.9,28.8285714285714,32.5428571428571,25.0857142857143,2.24766313589943
"01 Vientiane Capital",1,2017,27,92,53,885910,55.1,28.2714285714286,30.9142857142857,25.5714285714286,0.599806018322875
"01 Vientiane Capital",1,2017,28,91,62,885910,46.9,27.9857142857143,30.6285714285714,25.2857142857143,0.41161063720689
"01 Vientiane Capital",1,2017,29,109,57,885910,124.6,28.1285714285714,31.1428571428571,25.1,2.19487662656202
"01 Vientiane Capital",1,2017,30,99,36,885910,65.2,28.9857142857143,32.6285714285714,25.2857142857143,0.831607646282808
"01 Vientiane Capital",1,2017,31,90,32,885910,19.5,29.5142857142857,32.8142857142857,26.1428571428571,-0.217237343595304
"01 Vientiane Capital",1,2017,32,127,83,885910,97.7,28.9,32.3428571428571,25.4142857142857,1.57750397387665
"01 Vientiane Capital",1,2017,33,154,47,885910,79.6,28.8571428571429,32.3428571428571,25.3285714285714,1.16209709604746
"01 Vientiane Capital",1,2017,34,159,41,885910,63.1,28.7285714285714,31.9428571428571,25.4571428571429,0.783411268192128
"01 Vientiane Capital",1,2017,35,241,77,885910,75.1,28.4857142857143,31.8142857142857,25.1285714285714,1.05881914299601
"01 Vientiane Capital",1,2017,36,220,47,885910,18,28.8,32.0857142857143,25.5,-0.251663327945789
