,time_period,rainfall,mean_temperature,disease_cases,population,parent,location
0,2014-12-29/2015-01-04,0.0,22.5,0,844026,-,1
1,2015-01-05/2015-01-11,13.7,21.5,0,844026,-,1
2,2015-01-12/2015-01-18,0.0,20.2571428571429,0,844026,-,1
3,2015-01-19/2015-01-25,0.0,24.0285714285714,0,844026,-,1
4,2015-01-26/2015-02-01,0.0,24.5857142857143,0,844026,-,1
5,2015-02-02/2015-02-08,0.0,23.0571428571429,0,844026,-,1
6,2015-02-09/2015-02-15,15.1,24.8714285714286,0,844026,-,1
7,2015-02-16/2015-02-22,16.2,26.6714285714286,0,844026,-,1
8,2015-02-23/2015-03-01,0.0,28.9285714285714,0,844026,-,1
9,2015-03-02/2015-03-08,3.6,30.3714285714286,0,844026,-,1
10,2015-03-09/2015-03-15,0.0,29.2,0,844026,-,1
11,2015-03-16/2015-03-22,13.2,29.4857142857143,0,844026,-,1
12,2015-03-23/2015-03-29,2.9,27.9857142857143,0,844026,-,1
13,2015-03-30/2015-04-05,0.0,31.2,0,844026,-,1
14,2015-04-06/2015-04-12,15.1,27.8142857142857,0,844026,-,1
15,2015-04-13/2015-04-19,0.0,30.3428571428571,0,844026,-,1
16,2015-04-20/2015-04-26,19.2,28.7142857142857,2,844026,-,1
17,2015-04-27/2015-05-03,1.8,31.4285714285714,0,844026,-,1
18,2015-05-04/2015-05-10,15.6,31.3571428571429,0,844026,-,1
19,2015-05-11/2015-05-17,9.3,30.5571428571429,8,844026,-,1
20,2015-05-18/2015-05-24,14.1,31.3142857142857,0,844026,-,1
21,2015-05-25/2015-05-31,17.9,31.0,0,844026,-,1
22,2015-06-01/2015-06-07,44.6,30.4285714285714,2,844026,-,1
23,2015-06-08/2015-06-14,52.1,29.7285714285714,2,844026,-,1
24,2015-06-15/2015-06-21,3.8,31.1285714285714,0,844026,-,1
25,2015-06-22/2015-06-28,8.3,30.3428571428571,0,844026,-,1
26,2015-06-29/2015-07-05,67.0,32.2,6,844026,-,1
27,2015-07-06/2015-07-12,12.3,29.1857142857143,0,844026,-,1
28,2015-07-13/2015-07-19,106.5,28.2285714285714,4,844026,-,1
29,2015-07-20/2015-07-26,46.4,27.2,4,844026,-,1
30,2015-07-27/2015-08-02,177.0,26.9142857142857,6,844026,-,1
31,2015-08-03/2015-08-09,11.8,29.2857142857143,6,844026,-,1
32,2015-08-10/2015-08-16,12.3,29.6571428571429,0,844026,-,1
33,2015-08-17/2015-08-23,82.7,29.9857142857143,16,844026,-,1
34,2015-08-24/2015-08-30,35.9,28.4428571428571,14,844026,-,1
35,2015-08-31/2015-09-06,48.4,28.5571428571429,10,844026,-,1
36,2015-09-07/2015-09-13,43.3,28.9428571428571,10,844026,-,1
37,2015-09-14/2015-09-20,144.4,28.5428571428571,16,844026,-,1
38,2015-09-21/2015-09-27,5.8,29.6714285714286,20,844026,-,1
39,2015-09-28/2015-10-04,32.8,28.6,14,844026,-,1
40,2015-10-05/2015-10-11,55.0,26.6,10,844026,-,1
41,2015-10-12/2015-10-18,0.0,28.3857142857143,10,844026,-,1
42,2015-10-19/2015-10-25,0.0,28.1571428571429,16,844026,-,1
43,2015-10-26/2015-11-01,1.3,28.4142857142857,20,844026,-,1
44,2015-11-02/2015-11-08,23.6,28.3571428571429,14,844026,-,1
45,2015-11-09/2015-11-15,5.3,29.0285714285714,36,844026,-,1
46,2015-11-16/2015-11-22,41.1,28.6571428571429,32,844026,-,1
47,2015-11-23/2015-11-29,0.0,27.2857142857143,44,844026,-,1
48,2015-11-30/2015-12-06,12.8,25.8,38,844026,-,1
49,2015-12-07/2015-12-13,0.0,26.4714285714286,30,844026,-,1
50,2015-12-14/2015-12-20,0.0,23.1,40,844026,-,1
