Data;Period;Value
Climate-Temperature avg;W36 2019Sun 2019;26.3
Climate-Temperature avg;W35 2019Sun 2019;26.3
Climate-Temperature avg;W38 2019Sun 2019;27.0
Climate-Temperature avg;W37 2019Sun 2019;26.8
Climate-Temperature avg;W39 2019Sun 2019;25.2
Climate-Temperature avg;W50 2020Sun 2020;20.8
Climate-Rainfall;W20 2022Sun 2022;1418.2
Climate-Rainfall;W21 2022Sun 2022;1435.9
Climate-Temperature avg;W48 2020Sun 2020;24.1
Climate-Temperature avg;W49 2020Sun 2020;20.9
Climate-Temperature avg;W42 2020Sun 2020;24.2
Climate-Rainfall;W22 2022Sun 2022;1009.8
Climate-Temperature avg;W43 2020Sun 2020;23.0
Climate-Rainfall;W23 2022Sun 2022;600.7
Climate-Temperature avg;W30 2019Sun 2019;26.2
Climate-Temperature avg;W40 2020Sun 2020;27.4
Climate-Rainfall;W24 2022Sun 2022;757.3
Climate-Temperature avg;W41 2020Sun 2020;25.7
Climate-Rainfall;W25 2022Sun 2022;854.4
Climate-Temperature avg;W32 2019Sun 2019;26.7
Climate-Temperature avg;W46 2020Sun 2020;22.6
Climate-Rainfall;W26 2022Sun 2022;1385.6
Climate-Temperature avg;W31 2019Sun 2019;26.1
Climate-Temperature avg;W47 2020Sun 2020;24.5
Climate-Rainfall;W27 2022Sun 2022;1455.1
Climate-Temperature avg;W34 2019Sun 2019;26.4
Climate-Temperature avg;W44 2020Sun 2020;23.9
Climate-Rainfall;W28 2022Sun 2022;1284.8
Climate-Temperature avg;W33 2019Sun 2019;26.6
Climate-Temperature avg;W45 2020Sun 2020;24.4
Climate-Rainfall;W29 2022Sun 2022;1195.1
Climate-Temperature avg;W47 2019Sun 2019;23.7
Climate-Temperature avg;W46 2019Sun 2019;23.7
Climate-Temperature avg;W49 2019Sun 2019;19.0
Climate-Temperature avg;W48 2019Sun 2019;23.5
Climate-Rainfall;W10 2022Sun 2022;113.8
Climate-Rainfall;W19 2022Sun 2022;1311.6
Climate-Temperature avg;W53 2020Sun 2020;20.9
Climate-Rainfall;W11 2022Sun 2022;545.2
Climate-Rainfall;W12 2022Sun 2022;673.2
Climate-Temperature avg;W41 2019Sun 2019;26.3
Climate-Temperature avg;W51 2020Sun 2020;22.3
Climate-Rainfall;W13 2022Sun 2022;661.0
Climate-Temperature avg;W40 2019Sun 2019;26.1
Climate-Temperature avg;W52 2020Sun 2020;19.4
Climate-Rainfall;W14 2022Sun 2022;32.8
Climate-Temperature avg;W43 2019Sun 2019;26.8
Climate-Rainfall;W15 2022Sun 2022;239.7
Climate-Temperature avg;W42 2019Sun 2019;25.7
Climate-Rainfall;W16 2022Sun 2022;685.5
