,time_period,rainfall,mean_temperature,disease_cases,population,location
0,1994-02,3.535,27.38,9.0,2211544.01,AN GIANG
1,1994-03,71.707,28.07,14.0,2211544.01,AN GIANG
2,1994-04,90.148,28.46,31.0,2211544.01,AN GIANG
3,1994-05,235.174,27.53,131.0,2211544.01,AN GIANG
4,1994-06,174.71,26.92,256.0,2211544.01,AN GIANG
5,1994-07,200.503,26.73,340.0,2211544.01,AN GIANG
6,1994-08,206.307,26.73,390.0,2211544.01,AN GIANG
7,1994-09,298.553,26.11,418.0,2211544.01,AN GIANG
8,1994-10,250.595,25.85,514.0,2211544.01,AN GIANG
9,1994-11,19.003,26.82,184.0,2211544.01,AN GIANG
10,1994-12,34.843,26.52,89.0,2211544.01,AN GIANG
11,1995-01,24.383,26.21,34.0,2211544.01,AN GIANG
12,1995-02,0.49,26.55,58.0,2211544.01,AN GIANG
13,1995-03,54.78,28.08,39.0,2211544.01,AN GIANG
14,1995-04,21.876,29.92,54.0,2211544.01,AN GIANG
15,1995-05,83.459,29.13,76.0,2211544.01,AN GIANG
16,1995-06,161.763,28.08,175.0,2211544.01,AN GIANG
17,1995-07,244.184,26.88,206.0,2211544.01,AN GIANG
18,1995-08,309.818,26.85,241.0,2211544.01,AN GIANG
19,1995-09,362.427,26.12,312.0,2211544.01,AN GIANG
20,1995-10,264.279,26.6,402.0,2211544.01,AN GIANG
21,1995-11,109.433,26.3,390.0,2211544.01,AN GIANG
22,1995-12,43.763,25.29,303.0,2211544.01,AN GIANG
23,1996-01,33.12,25.45,199.0,2211544.01,AN GIANG
24,1996-02,5.283,26.68,71.0,2211544.01,AN GIANG
25,1996-03,5.636,28.68,37.0,2211544.01,AN GIANG
26,1996-04,128.524,28.39,79.0,2211544.01,AN GIANG
27,1996-05,198.086,27.49,83.0,2211544.01,AN GIANG
28,1996-06,203.686,26.97,312.0,2211544.01,AN GIANG
29,1996-07,233.313,26.7,110.0,2211544.01,AN GIANG
30,1996-08,205.102,27.0,190.0,2211544.01,AN GIANG
31,1996-09,300.125,26.58,376.0,2211544.01,AN GIANG
32,1996-10,362.161,26.05,297.0,2211544.01,AN GIANG
33,1996-11,296.802,25.93,334.0,2211544.01,AN GIANG
34,1996-12,104.61,24.54,227.0,2211544.01,AN GIANG
35,1997-01,1.487,24.5,110.0,2211544.01,AN GIANG
36,1997-02,52.964,26.52,62.0,2211544.01,AN GIANG
37,1997-03,10.135,28.04,0.0,2211544.01,AN GIANG
38,1997-04,70.472,28.74,47.0,2211544.01,AN GIANG
39,1997-05,145.53,28.06,53.0,2211544.01,AN GIANG
40,1997-06,146.897,27.49,185.0,2211544.01,AN GIANG
41,1997-07,286.885,26.6,286.0,2211544.01,AN GIANG
42,1997-08,210.491,26.86,495.0,2211544.01,AN GIANG
43,1997-09,268.136,26.82,1295.0,2211544.01,AN GIANG
44,1997-10,216.32,26.71,1476.0,2211544.01,AN GIANG
45,1997-11,100.509,26.75,937.0,2211544.01,AN GIANG
46,1997-12,5.001,27.38,930.0,2211544.01,AN GIANG
47,1998-01,1.425,27.92,1337.0,2211544.01,AN GIANG
48,1998-02,2.571,28.4,448.0,2211544.01,AN GIANG
49,1998-03,0.605,29.86,378.0,2211544.01,AN GIANG
50,1998-04,37.561,30.31,789.0,2211544.01,AN GIANG
51,1998-05,122.072,30.04,1371.0,2211544.01,AN GIANG
52,1998-06,245.116,27.57,874.0,2211544.01,AN GIANG
53,1998-07,206.732,27.54,465.0,2211544.01,AN GIANG
54,1998-08,278.652,27.24,768.0,2211544.01,AN GIANG
55,1998-09,345.593,26.47,1451.0,2211544.01,AN GIANG
56,1998-10,304.865,26.27,754.0,2211544.01,AN GIANG
57,1998-11,241.925,25.92,511.0,2211544.01,AN GIANG
58,1998-12,121.226,24.87,502.0,2211544.01,AN GIANG
59,1999-01,72.137,25.36,272.0,2211544.01,AN GIANG
60,1999-02,44.256,25.83,70.0,2211544.01,AN GIANG
61,1999-03,72.152,28.0,61.0,2211544.01,AN GIANG
62,1999-04,246.414,27.02,157.0,2211544.01,AN GIANG
63,1999-05,305.541,26.62,217.0,2211544.01,AN GIANG
64,1999-06,252.243,26.19,196.0,2211544.01,AN GIANG
65,1999-07,224.069,26.33,234.0,2211544.01,AN GIANG
66,1999-08,214.356,26.7,266.0,2211544.01,AN GIANG
67,1999-09,184.005,26.7,394.0,2211544.01,AN GIANG
68,1999-10,359.384,26.2,335.0,2211544.01,AN GIANG
69,1999-11,219.64,25.89,306.0,2211544.01,AN GIANG
70,1999-12,84.805,24.33,208.0,2211544.01,AN GIANG
71,2000-01,25.292,26.21,114.0,2211544.01,AN GIANG
72,2000-02,27.859,26.87,73.0,2211544.01,AN GIANG
73,2000-03,79.686,27.92,63.0,2211544.01,AN GIANG
74,2000-04,166.533,27.59,127.0,2211544.01,AN GIANG
75,2000-05,182.47,27.37,301.0,2211544.01,AN GIANG
76,2000-06,256.345,26.48,383.0,2211544.01,AN GIANG
77,2000-07,183.634,26.55,375.0,2211544.01,AN GIANG
78,2000-08,237.97,26.54,585.0,2211544.01,AN GIANG
79,2000-09,198.228,26.72,423.0,2211544.01,AN GIANG
80,2000-10,367.548,26.07,330.0,2211544.01,AN GIANG
81,2000-11,151.672,26.1,245.0,2211544.01,AN GIANG
82,2000-12,127.691,25.68,221.0,2211544.01,AN GIANG
83,2001-01,46.183,25.53,178.0,2211544.01,AN GIANG
84,2001-02,33.959,26.58,176.0,2211544.01,AN GIANG
85,2001-03,139.248,27.48,148.0,2211544.01,AN GIANG
86,2001-04,121.248,28.18,187.0,2211544.01,AN GIANG
87,2001-05,133.78,27.78,408.0,2211544.01,AN GIANG
88,2001-06,238.535,26.83,641.0,2211544.01,AN GIANG
89,2001-07,191.575,26.96,599.0,2211544.01,AN GIANG
90,2001-08,229.253,26.72,579.0,2211544.01,AN GIANG
91,2001-09,240.789,26.82,531.0,2211544.01,AN GIANG
92,2001-10,347.679,26.33,328.0,2211544.01,AN GIANG
93,2001-11,56.477,25.91,155.0,2211544.01,AN GIANG
94,2001-12,25.314,26.49,97.0,2211544.01,AN GIANG
95,2002-01,0.971,26.35,76.0,2211544.01,AN GIANG
96,2002-02,1.089,27.57,39.0,2211544.01,AN GIANG
97,2002-03,4.937,29.36,29.0,2211544.01,AN GIANG
98,2002-04,45.73,30.11,77.0,2211544.01,AN GIANG
99,2002-05,128.884,29.23,111.0,2211544.01,AN GIANG
100,2002-06,185.71,27.42,162.0,2211544.01,AN GIANG
101,2002-07,105.228,28.05,264.0,2211544.01,AN GIANG
102,2002-08,257.939,26.81,222.0,2211544.01,AN GIANG
103,2002-09,223.399,26.69,198.0,2211544.01,AN GIANG
104,2002-10,244.795,26.8,250.0,2211544.01,AN GIANG
105,2002-11,160.143,26.42,165.0,2211544.01,AN GIANG
106,2002-12,69.345,26.72,159.0,2211544.01,AN GIANG
107,2003-01,1.391,25.87,107.0,2211544.01,AN GIANG
108,2003-02,2.559,27.47,55.0,2211544.01,AN GIANG
109,2003-03,20.684,29.29,81.0,2211544.01,AN GIANG
110,2003-04,29.186,30.62,96.0,2211544.01,AN GIANG
111,2003-05,222.803,27.71,119.0,2211544.01,AN GIANG
112,2003-06,164.5,27.42,145.0,2211544.01,AN GIANG
113,2003-07,294.56,26.66,166.0,2211544.01,AN GIANG
114,2003-08,267.292,27.04,251.0,2211544.01,AN GIANG
115,2003-09,276.254,26.46,245.0,2211544.01,AN GIANG
116,2003-10,425.143,25.97,213.0,2211544.01,AN GIANG
117,2003-11,96.283,26.96,179.0,2211544.01,AN GIANG
118,2003-12,10.343,26.2,161.0,2211544.01,AN GIANG
119,2004-01,4.738,26.95,84.0,2211544.01,AN GIANG
120,2004-02,3.36,26.88,110.0,2211544.01,AN GIANG
121,2004-03,13.953,28.93,202.0,2211544.01,AN GIANG
122,2004-04,49.808,30.31,226.0,2211544.01,AN GIANG
123,2004-05,161.575,28.19,217.0,2211544.01,AN GIANG
124,2004-06,237.58,26.87,264.0,2211544.01,AN GIANG
125,2004-07,228.311,26.76,658.0,2211544.01,AN GIANG
126,2004-08,213.121,26.77,743.0,2211544.01,AN GIANG
127,2004-09,255.779,26.71,868.0,2211544.01,AN GIANG
128,2004-10,167.933,26.45,635.0,2211544.01,AN GIANG
129,2004-11,86.865,27.0,655.0,2211544.01,AN GIANG
130,2004-12,1.6,26.35,621.0,2211544.01,AN GIANG
131,2005-01,2.883,25.93,257.0,2211544.01,AN GIANG
132,2005-02,0.675,27.67,107.0,2211544.01,AN GIANG
133,2005-03,13.734,28.53,143.0,2211544.01,AN GIANG
134,2005-04,31.213,30.19,231.0,2211544.01,AN GIANG
135,2005-05,195.405,28.24,180.0,2211544.01,AN GIANG
136,2005-06,156.085,27.56,130.0,2211544.01,AN GIANG
137,2005-07,248.319,26.57,252.0,2211544.01,AN GIANG
138,2005-08,173.413,27.22,384.0,2211544.01,AN GIANG
139,2005-09,224.83,26.8,399.0,2211544.01,AN GIANG
140,2005-10,328.072,26.48,275.0,2211544.01,AN GIANG
141,2005-11,145.697,26.23,237.0,2211544.01,AN GIANG
142,2005-12,101.638,24.95,252.0,2211544.01,AN GIANG
143,2006-01,17.484,25.91,209.0,2211544.01,AN GIANG
144,2006-02,12.733,27.54,61.0,2211544.01,AN GIANG
145,2006-03,42.984,28.27,94.0,2211544.01,AN GIANG
146,2006-04,124.369,28.27,134.0,2211544.01,AN GIANG
147,2006-05,233.801,27.27,170.0,2211544.01,AN GIANG
148,2006-06,269.949,26.79,186.0,2211544.01,AN GIANG
149,2006-07,192.135,26.7,217.0,2211544.01,AN GIANG
150,2006-08,264.117,26.58,350.0,2211544.01,AN GIANG
151,2006-09,301.331,26.53,228.0,2211544.01,AN GIANG
152,2006-10,234.01,26.47,316.0,2211544.01,AN GIANG
153,2006-11,48.568,27.32,223.0,2211544.01,AN GIANG
154,2006-12,12.468,27.36,587.0,2211544.01,AN GIANG
155,2007-01,52.642,26.18,297.0,2211544.01,AN GIANG
156,2007-02,4.213,26.77,139.0,2211544.01,AN GIANG
157,2007-03,69.901,28.12,152.0,2211544.01,AN GIANG
158,2007-04,108.313,29.08,395.0,2211544.01,AN GIANG
159,2007-05,238.331,27.17,771.0,2211544.01,AN GIANG
160,2007-06,275.355,27.22,1374.0,2211544.01,AN GIANG
161,2007-07,245.057,26.63,1327.0,2211544.01,AN GIANG
162,2007-08,218.112,26.74,1522.0,2211544.01,AN GIANG
163,2007-09,233.868,26.87,1328.0,2211544.01,AN GIANG
164,2007-10,347.016,26.11,703.0,2211544.01,AN GIANG
165,2007-11,126.402,25.29,534.0,2211544.01,AN GIANG
166,2007-12,20.984,26.51,291.0,2211544.01,AN GIANG
167,2008-01,17.165,26.58,224.0,2211544.01,AN GIANG
168,2008-02,14.454,27.07,93.0,2211544.01,AN GIANG
169,2008-03,52.779,27.83,103.0,2211544.01,AN GIANG
170,2008-04,148.374,28.28,75.0,2211544.01,AN GIANG
171,2008-05,279.232,26.66,76.0,2211544.01,AN GIANG
172,2008-06,196.101,26.82,181.0,2211544.01,AN GIANG
173,2008-07,228.479,26.85,200.0,2211544.01,AN GIANG
174,2008-08,231.844,26.73,153.0,2211544.01,AN GIANG
175,2008-09,348.715,26.48,252.0,2211544.01,AN GIANG
176,2008-10,283.67,26.59,247.0,2211544.01,AN GIANG
177,2008-11,211.664,25.66,273.0,2211544.01,AN GIANG
178,2008-12,87.39,25.35,239.0,2211544.01,AN GIANG
179,2009-01,5.395,24.36,137.0,2211544.01,AN GIANG
180,2009-02,53.178,26.55,120.0,2211544.01,AN GIANG
181,2009-03,79.27,28.2,109.0,2211544.01,AN GIANG
182,2009-04,145.633,28.29,144.0,2211544.01,AN GIANG
183,2009-05,265.844,26.87,290.0,2211544.01,AN GIANG
184,2009-06,162.784,27.26,348.0,2211544.01,AN GIANG
185,2009-07,198.606,27.04,251.0,2211544.01,AN GIANG
186,2009-08,207.155,27.43,445.0,2211544.01,AN GIANG
187,2009-09,263.102,26.56,688.0,2211544.01,AN GIANG
188,2009-10,210.621,26.44,571.0,2211544.01,AN GIANG
189,2009-11,43.534,26.89,586.0,2211544.01,AN GIANG
190,2009-12,20.058,26.75,461.0,2211544.01,AN GIANG
191,2010-01,57.364,26.29,210.0,2211544.01,AN GIANG
192,2010-02,2.772,27.65,85.0,2211544.01,AN GIANG
193,2010-03,30.884,29.46,195.0,2211544.01,AN GIANG
194,2010-04,72.845,30.13,206.0,2211544.01,AN GIANG
195,2010-05,165.475,29.31,187.0,2211544.01,AN GIANG
196,2010-06,248.299,27.6,297.0,2211544.01,AN GIANG
197,2010-07,244.407,27.11,667.0,2211544.01,AN GIANG
198,2010-08,249.493,27.11,827.0,2211544.01,AN GIANG
199,2010-09,300.213,27.06,771.0,2211544.01,AN GIANG
200,2010-10,413.188,26.1,882.0,2211544.01,AN GIANG
201,2010-11,230.598,25.86,739.0,2211544.01,AN GIANG
202,2010-12,72.469,25.61,452.0,2211544.01,AN GIANG
0,1994-02,3.459,26.29,,1246341.17,BA RIA-VUNG TAU
1,1994-03,19.274,27.27,,1246341.17,BA RIA-VUNG TAU
2,1994-04,75.202,27.47,,1246341.17,BA RIA-VUNG TAU
3,1994-05,319.892,26.98,,1246341.17,BA RIA-VUNG TAU
4,1994-06,323.33,26.32,,1246341.17,BA RIA-VUNG TAU
5,1994-07,288.551,25.98,,1246341.17,BA RIA-VUNG TAU
6,1994-08,275.715,25.94,,1246341.17,BA RIA-VUNG TAU
7,1994-09,397.838,25.41,,1246341.17,BA RIA-VUNG TAU
8,1994-10,196.709,25.38,,1246341.17,BA RIA-VUNG TAU
9,1994-11,13.825,26.16,,1246341.17,BA RIA-VUNG TAU
10,1994-12,107.495,25.11,,1246341.17,BA RIA-VUNG TAU
11,1995-01,26.082,25.35,,1246341.17,BA RIA-VUNG TAU
12,1995-02,0.934,25.6,27.0,1246341.17,BA RIA-VUNG TAU
13,1995-03,16.482,26.65,16.0,1246341.17,BA RIA-VUNG TAU
14,1995-04,9.198,28.3,26.0,1246341.17,BA RIA-VUNG TAU
15,1995-05,139.662,28.02,108.0,1246341.17,BA RIA-VUNG TAU
16,1995-06,281.866,27.08,85.0,1246341.17,BA RIA-VUNG TAU
17,1995-07,288.415,26.15,187.0,1246341.17,BA RIA-VUNG TAU
18,1995-08,348.141,26.21,1475.0,1246341.17,BA RIA-VUNG TAU
19,1995-09,478.446,25.45,1119.0,1246341.17,BA RIA-VUNG TAU
20,1995-10,283.484,25.89,571.0,1246341.17,BA RIA-VUNG TAU
21,1995-11,151.283,25.4,372.0,1246341.17,BA RIA-VUNG TAU
22,1995-12,97.466,24.02,116.0,1246341.17,BA RIA-VUNG TAU
23,1996-01,40.928,23.99,50.0,1246341.17,BA RIA-VUNG TAU
24,1996-02,2.356,25.12,32.0,1246341.17,BA RIA-VUNG TAU
