time_period,rainfall,mean_temperature,disease_cases,location
2001-03,247.572,24.59,115,Acre
2001-04,194.169,24.62,78,Acre
2001-05,97.685,24.15,36,Acre
2001-06,60.546,22.42,32,Acre
2001-07,86.882,23.53,7,Acre
2001-08,37.802,25.65,8,Acre
2001-09,125.288,25.15,8,Acre
2001-10,177.126,25.83,22,Acre
2001-11,206.037,25.36,172,Acre
2001-12,308.816,24.93,196,Acre
2002-01,226.946,25.39,81,Acre
2002-02,262.303,25.02,170,Acre
2002-03,238.798,25.14,316,Acre
2002-04,216.697,24.65,72,Acre
2002-05,125.554,24.6,36,Acre
2002-06,62.513,23.54,24,Acre
2002-07,87.491,23.73,19,Acre
2002-08,82.58,25.43,12,Acre
2002-09,108.764,25.54,14,Acre
2002-10,153.82,25.98,18,Acre
2002-11,191.571,25.24,91,Acre
2002-12,271.847,25.14,98,Acre
2003-01,273.5,25.38,240,Acre
2003-02,250.476,25.02,288,Acre
2003-03,231.799,24.88,171,Acre
2003-04,197.785,24.58,98,Acre
2003-05,123.78,24.28,47,Acre
2003-06,73.252,24,39,Acre
2003-07,22.247,24.4,17,Acre
2003-08,72.341,24.54,7,Acre
2003-09,144.756,24.91,8,Acre
2003-10,148.788,25.72,27,Acre
2003-11,192.608,25.21,53,Acre
2003-12,247.661,25.34,57,Acre
2004-01,222.19,25.41,89,Acre
2004-02,177.339,25.15,143,Acre
2004-03,267.115,25.05,61,Acre
2004-04,128.891,24.98,36,Acre
2004-05,72.403,23.12,67,Acre
2004-06,74.142,23.26,53,Acre
2004-07,78.683,23.35,46,Acre
2004-08,97.868,24.27,42,Acre
2004-09,107.052,25.25,95,Acre
2004-10,222.012,25.28,400,Acre
2004-11,217.384,24.99,2007,Acre
2004-12,267.937,25.01,1505,Acre
2005-01,210.048,25.69,1469,Acre
2005-02,260.84,25.1,486,Acre
2005-03,243.529,25.23,183,Acre
2005-04,191.318,24.64,49,Acre
2005-05,107.63,24.68,16,Acre
2005-06,50.406,24.56,15,Acre
2005-07,20.202,24.4,10,Acre
2005-08,51.964,26.2,5,Acre
2005-09,71.689,26.17,0,Acre
2005-10,230.567,25.51,6,Acre
2005-11,201.977,25.42,26,Acre
2005-12,229.801,25.18,262,Acre
2006-01,240.574,25.03,81,Acre
2006-02,246.254,25.08,38,Acre
2006-03,233.736,25.12,28,Acre
2006-04,176.17,24.46,31,Acre
2006-05,49.08,23.55,10,Acre
2006-06,68.151,24.37,11,Acre
2006-07,35.718,25.42,5,Acre
2006-08,49.542,26.22,2,Acre
2006-09,118.979,26.02,5,Acre
2006-10,223.299,25.76,14,Acre
2006-11,215.812,25.29,224,Acre
2006-12,234.219,25.23,196,Acre
2007-01,226.277,25.59,127,Acre
2007-02,177.236,25.93,138,Acre
2007-03,281.256,24.95,116,Acre
2007-04,186.837,24.7,101,Acre
2007-05,117.578,23.32,46,Acre
2007-06,20.816,24.57,8,Acre
2007-07,71.698,24.06,2,Acre
2007-08,38.381,25.83,3,Acre
2007-09,123.212,26.04,3,Acre
2007-10,198.869,25.6,10,Acre
2007-11,237.345,25.02,62,Acre
2007-12,295.632,24.84,71,Acre
2008-01,268.907,24.78,80,Acre
2008-02,266.329,24.71,141,Acre
2008-03,313.923,24.18,176,Acre
2008-04,210.042,24.4,189,Acre
2008-05,87.844,23.59,101,Acre
2008-06,42.102,23.27,31,Acre
2008-07,33.674,25.1,20,Acre
2008-08,44.556,26.43,46,Acre
2008-09,116.758,26.12,86,Acre
2008-10,179.166,25.87,99,Acre
2008-11,246.543,25.36,336,Acre
2008-12,296.618,24.94,643,Acre
2009-01,305.611,24.77,2919,Acre
2009-02,279.212,24.87,6004,Acre
2009-03,353.241,24.64,5001,Acre
2009-04,284.756,24.3,1376,Acre
2009-05,165.102,24.32,711,Acre
2009-06,69.543,23.32,253,Acre
2009-07,66.02,23.87,119,Acre
2009-08,65.326,25.57,91,Acre
2009-09,93.039,26.23,77,Acre
2009-10,148.198,26.39,161,Acre
2009-11,205.5,26.16,479,Acre
2009-12,314.24,25.2,1281,Acre
2010-01,217.414,25.68,3962,Acre
2010-02,274.036,25.97,7715,Acre
2010-03,247.647,25.92,6103,Acre
2010-04,121.531,25.77,3039,Acre
2010-05,106.99,24.4,1424,Acre
2010-06,30.499,24.82,849,Acre
2010-07,33.44,24.4,793,Acre
2010-08,24.28,26.63,426,Acre
2010-09,76.572,27.01,610,Acre
2010-10,217.882,26,1033,Acre
2010-11,241.231,25.1,3022,Acre
2010-12,190.48,25.35,5515,Acre
2011-01,236.757,25,8492,Acre
2011-02,258.259,24.63,4707,Acre
2011-03,321.717,24.49,2927,Acre
2011-04,204.158,24.58,1249,Acre
2011-05,85.352,24.14,334,Acre
2011-06,60.731,24.44,121,Acre
2011-07,35.683,24.75,55,Acre
2011-08,47.933,25.63,54,Acre
